name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Piedras Verdes,MX,Sonora,26.917,-109.733,copper,molybdenum,POR_CUMO,3.0,0.30,NI43-101,production,1990,Invecture Group,Laramide,Continental arc,"Porphyry Cu-Mo deposit. Open pit heap leach SX-EW producing cathodes.",Invecture NI 43-101,3,"porphyry;open-pit;mexico;laramide"
Mercedes,MX,Sonora,30.000,-110.000,copper,"molybdenum;silver",POR_CUMO,3.0,0.30,exploration,1990,,Laramide,Continental arc,"Porphyry Cu-Mo prospect in Sonora. Adjacent to major Laramide belt.",USGS MRDS,3,"porphyry;exploration;mexico"
Suaki,MX,Sonora,29.000,-110.500,copper,"gold;silver",POR_CUAU,2.0,0.35,exploration,2000,,Laramide,Continental arc,"Porphyry Cu-Au prospect. Exploration drilling by junior companies.",USGS MRDS,3,"porphyry;exploration;mexico"
Candelaria,MX,Coahuila,27.000,-102.500,copper,"silver;gold",SKN_CALC,2.0,0.80,exploration,1990,,Cretaceous,Continental arc,"Skarn Cu-Au-Ag prospect in Coahuila. Part of the Mexican fold belt.",USGS MRDS,3,"skarn;exploration;mexico;cretaceous"
Gameleira,BR,Para,-6.433,-50.067,copper,gold,IOCG_HEM,3.0,0.80,exploration,2000,Vale,Archean,Craton margin,"IOCG Cu-Au deposit in the Carajas province. Near Sossego and Cristalino.",Vale reports,3,"iocg;exploration;brazil;carajas;archean"
Furnas,BR,Para,-6.500,-50.000,copper,gold,IOCG_HEM,3.0,0.70,exploration,2000,Vale,Archean,Craton margin,"IOCG Cu-Au deposit in the Carajas belt. Multiple magnetite-hematite breccia zones.",Vale reports,3,"iocg;exploration;brazil;carajas"
Antas,BR,Bahia,-10.000,-39.000,copper,gold,IOCG_HEM,2.0,0.80,development,2000,Ero Copper,Proterozoic,Craton margin,"IOCG Cu-Au deposit in the Curaca Valley. Underground development by Ero Copper.",Ero Copper NI 43-101,4,"iocg;underground;development;brazil;proterozoic"
118,BR,Para,-6.433,-50.067,copper,gold,IOCG_HEM,2.0,0.90,exploration,2005,,Archean,Craton margin,"High-grade IOCG Cu-Au prospect in Carajas. Named after drill hole 118.",USGS MRDS,3,"iocg;exploration;brazil;carajas;high-grade"
Bacuri,BR,Para,-6.500,-50.500,copper,gold,IOCG_HEM,3.0,0.60,exploration,2010,,Archean,Craton margin,"IOCG Cu-Au prospect in the western Carajas province.",USGS MRDS,3,"iocg;exploration;brazil;carajas"
Mirador Norte,EC,Zamora Chinchipe,-3.583,-78.450,copper,"gold;silver",POR_CUAU,5.0,0.35,exploration,2005,Ecuacorriente,Miocene,Continental arc,"Northern extension of the Mirador porphyry Cu-Au deposit. Resource expansion drilling.",CRCC-Tongguan reports,3,"porphyry;exploration;ecuador"
Panantza,EC,Morona Santiago,-2.500,-78.000,copper,"molybdenum;gold",POR_CUMO,5.0,0.40,exploration,1995,Ecuacorriente,Miocene,Continental arc,"Porphyry Cu-Mo deposit in the Cordillera del Condor. Near Mirador project.",CRCC-Tongguan reports,3,"porphyry;exploration;ecuador"
La Plata,EC,Cotopaxi,-0.500,-78.833,copper,"gold;zinc;silver",VMS_BM,2.0,2.00,NI43-101,exploration,2010,Atico Mining,Cretaceous,Island arc,"High-grade VMS Cu-Au-Zn deposit. Historic mine being explored for restart.",Atico Mining NI 43-101,3,"vms;exploration;ecuador;high-grade"
San Matias,CO,Cordoba,8.500,-75.500,copper,"gold;silver;molybdenum",POR_CUAU,3.0,0.30,exploration,2000,Cordoba Minerals,Miocene,Continental arc,"Porphyry Cu-Au-Mo project. Alacran and Costa Azul deposits. Large tonnage potential.",Cordoba Minerals NI 43-101,3,"porphyry;exploration;colombia"
Comita,CO,Choco,6.500,-77.000,copper,"gold;silver",POR_CUAU,2.0,0.35,exploration,2010,,Miocene,Continental arc,"Porphyry Cu-Au prospect in the western Colombian cordillera.",USGS MRDS,3,"porphyry;exploration;colombia"
Dos Pobres,US,Arizona,32.983,-109.667,copper,"molybdenum;silver",POR_CUMO,3.0,0.30,NI43-101,development,1970,,Laramide,Continental arc,"Porphyry Cu-Mo deposit in the Safford district. Part of Freeport development pipeline.",USGS MRDS,3,"porphyry;development;arizona;laramide"
Lone Star,US,Arizona,32.900,-109.700,copper,"molybdenum",POR_CUMO,2.0,0.30,development,1970,,Laramide,Continental arc,"Porphyry Cu-Mo deposit near Safford. Development project by Freeport.",USGS MRDS,3,"porphyry;development;arizona"
Gunnison,US,Arizona,32.500,-110.500,copper,"silver;molybdenum",POR_CUMO,2.0,0.40,NI43-101,development,1990,Excelsior Mining,Laramide,Continental arc,"Porphyry Cu deposit. Planned in-situ recovery (ISR) project. Johnson Camp mine.",Excelsior Mining NI 43-101,3,"porphyry;development;arizona;isr"
