name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Erdenet,Erdenet,MN,Orkhon,49.033,104.133,copper,molybdenum,POR_CUMO,15.0,0.50,JORC,production,1964,Erdenet Mining,Permian-Triassic,Continental arc,"Largest porphyry Cu-Mo mine in Mongolia. One of Asia's biggest open pits. Joint Mongolian-Russian operation.",USGS MRDS; Erdenet JORC,5,"porphyry;open-pit;giant;mongolia;permian"
Shuteen,MN,Dornogovi,44.500,108.000,copper,"gold;molybdenum",POR_CUAU,3.0,0.35,exploration,1990,,Devonian,Island arc,"Porphyry Cu-Au prospect in the South Gobi belt.",USGS MRDS,3,"porphyry;exploration;mongolia"
Zuun Mod,MN,Bayankhongor,44.500,100.000,copper,molybdenum,POR_CUMO,3.0,0.30,exploration,2010,,Devonian,Island arc,"Porphyry Cu-Mo prospect in the Gobi-Altai region.",USGS MRDS,3,"porphyry;exploration;mongolia"
Meiduk,IR,Kerman,30.500,55.000,copper,molybdenum,POR_CUMO,5.0,0.70,JORC,production,1970,NICICO,Miocene,Continental arc,"Large porphyry Cu-Mo deposit. Second-largest copper producer in Iran after Sarcheshmeh.",NICICO reports,4,"porphyry;open-pit;iran;miocene"
Darreh Zar,IR,Kerman,29.500,56.500,copper,molybdenum,POR_CUMO,3.0,0.50,JORC,exploration,1990,NICICO,Miocene,Continental arc,"Porphyry Cu-Mo deposit under exploration. Part of Kerman porphyry belt.",NICICO reports,3,"porphyry;exploration;iran;miocene"
Chah Firuzeh,IR,Kerman,30.000,56.000,copper,molybdenum,POR_CUMO,3.0,0.45,exploration,2000,,Miocene,Continental arc,"Porphyry Cu-Mo prospect in the Kerman belt.",USGS MRDS,3,"porphyry;exploration;iran"
Now Chun,IR,Kerman,29.500,56.500,copper,molybdenum,POR_CUMO,2.0,0.40,exploration,1990,,Miocene,Continental arc,"Porphyry Cu-Mo prospect near Sarcheshmeh.",USGS MRDS,3,"porphyry;exploration;iran"
Iju,IR,Kerman,29.000,56.000,copper,molybdenum,POR_CUMO,2.0,0.50,exploration,2000,,Miocene,Continental arc,"Porphyry Cu-Mo prospect in the southern Kerman belt.",USGS MRDS,3,"porphyry;exploration;iran"
Reko Diq Expansion,PK,Balochistan,29.000,62.000,copper,"gold;molybdenum",POR_CUAU,5.0,0.30,JORC,exploration,2005,Barrick Gold,Miocene,Continental collision,"Western porphyry centers of the giant Reko Diq cluster. Barrick exploring multiple deposits.",Barrick JORC,4,"porphyry;exploration;pakistan;miocene;chagai"
Dasht-e-Kain,PK,Balochistan,28.500,64.000,copper,"gold;silver",VMS_BM,2.0,1.00,exploration,1980,,Cretaceous,Island arc,"VMS Cu-Au prospect in the Chagai belt of western Pakistan.",USGS MRDS,3,"vms;exploration;pakistan"
Zarshuran,PK,Balochistan,28.000,65.000,copper,"gold;silver",EPI_LS,2.0,0.30,exploration,1990,,Tertiary,Continental collision,"Epithermal Au-Cu prospect in the Tethyan belt of Balochistan.",USGS MRDS,3,"epithermal;exploration;pakistan"
Monywa,MM,Sagaing,22.100,95.033,copper,"molybdenum;silver",POR_CUAU,8.0,0.35,JORC,production,1990,Wanbao Mining,Tertiary,Island arc,"Major porphyry Cu deposit. Letpadaung, Sabetaung, Kyisintaung deposits. Chinese-operated.",Wanbao JORC,5,"porphyry;open-pit;myanmar;tertiary"
