name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,production_start_year,operator_company,mining_method,host_rock_type,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Boddington,AU,Western Australia,-32.733,116.350,copper,"gold;silver;molybdenum",POR_CUAU,5.0,0.10,JORC,production,1975,2009,Newmont,open_pit,Diorite porphyry,Archean,Craton margin,"Large-tonnage low-grade porphyry Cu-Au deposit. One of Australia's largest gold mines with significant copper.",Newmont JORC reports,5,"porphyry;open-pit;gold-rich;australia;archean"
DeGrussa,AU,Western Australia,-25.500,119.583,copper,"gold;silver",VMS_BM,3.0,4.00,JORC,closed,2009,2012,Sandfire Resources,underground,Felsic volcanic rocks,Proterozoic,Back-arc basin,"High-grade VMS Cu-Au deposit. DeGrussa and Conductor 1 deposits. Mined out 2023.","Sandfire Resources JORC; Huston et al. (2014)",5,"vms;underground;high-grade;australia;proterozoic;closed"
Nifty,AU,Western Australia,-21.633,121.583,copper,silver,SED_SSC,5.0,1.50,JORC,production,1981,1993,Metals X,underground,Shale and sandstone,Neoproterozoic,Intracratonic basin,"Sediment-hosted Cu deposit in the Yeneena Basin. Oxide and sulfide operations.","Metals X JORC reports",4,"sediment-hosted;underground;australia;proterozoic"
CSA,AU,New South Wales,-31.400,145.633,copper,"zinc;silver",VMS_BM,3.0,3.50,JORC,production,1870,1965,Aeris Resources,underground,Felsic volcanic rocks,Silurian-Devonian,Back-arc basin,"VMS Cu-Zn deposit in the Cobar Basin. High-grade underground mine.",Aeris Resources JORC,4,"vms;underground;high-grade;australia;paleozoic"
Tritton,AU,New South Wales,-31.100,146.717,copper,silver,VMS_BM,3.0,1.50,JORC,production,1990,2005,Aeris Resources,underground,Felsic volcanic rocks,Ordovician,Back-arc basin,"VMS Cu deposit in the Girilambone district. Tritton and Murrawombie underground mines.",Aeris Resources JORC,3,"vms;underground;australia;ordovician"
Hillside,AU,South Australia,-34.517,137.867,copper,"gold;silver;iron",IOCG_HEM,5.0,0.60,JORC,development,2008,,Rex Minerals,open_pit,Hematite breccia,Neoproterozoic,Craton margin,"IOCG Cu-Au deposit on the Yorke Peninsula. Large tonnage near-surface mineralization.",Rex Minerals JORC,4,"iocg;development;australia;hematite"
Roseby,AU,Queensland,-20.300,140.000,copper,"gold;cobalt",SED_SSC,3.0,1.00,JORC,development,1990,,Aeon Metals,open_pit,Sandstone and shale,Proterozoic,Intracratonic basin,"Sediment-hosted Cu deposit in the Mount Isa region. Includes Little Eva and Bedford deposits.",Aeon Metals JORC,3,"sediment-hosted;development;australia;proterozoic"
Mount Lyell,AU,Tasmania,-42.050,145.567,copper,"gold;silver",VMS_BM,3.0,1.00,JORC,closed,1883,1896,,underground,Felsic volcanic rocks,Cambrian,Island arc,"Historic VMS Cu-Au deposit. One of Australia's oldest and most famous mines. Production paused 2014.","USGS; Corbett (2001)",4,"vms;underground;historic;australia;cambrian;tasmania;closed"
Osborne,AU,Queensland,-22.100,140.567,copper,"gold;iron",IOCG_HEM,2.0,1.50,JORC,closed,1990,1996,,underground,Hematite breccia,Paleoproterozoic,Craton margin,"IOCG Cu-Au deposit in the Cloncurry district. Magnetite-hematite-rich.",USGS; Baker (1998),3,"iocg;underground;australia;proterozoic;cloncurry;closed"
Eloise,AU,Queensland,-20.950,140.983,copper,"gold;silver",IOCG_HEM,2.0,1.50,JORC,production,1988,1996,Aeris Resources,underground,Hematite breccia,Paleoproterozoic,Craton margin,"IOCG Cu-Au deposit. Underground mine in the Cloncurry district.",Aeris Resources JORC,3,"iocg;underground;australia;proterozoic;cloncurry"
Capricorn Copper,AU,Queensland,-20.250,139.750,copper,"cobalt;silver",SED_SSC,2.0,1.80,JORC,production,1970,2018,Aeris Resources,underground,Shale and dolomite,Proterozoic,Intracratonic basin,"Sediment-hosted Cu-Co deposit. Historic Esperanza and Mammoth mines consolidated.",Aeris Resources JORC,3,"sediment-hosted;underground;australia;proterozoic;cobalt"
Mount Gordon,AU,Queensland,-19.733,139.367,copper,"cobalt;silver",SED_SSC,2.0,1.50,historical,closed,1970,1990,,open_pit,Shale,Proterozoic,Intracratonic basin,"Sediment-hosted Cu-Co deposit. Past-producing open pit mine.",USGS MRDS,3,"sediment-hosted;open-pit;australia;proterozoic;closed"
Rocklands,AU,Queensland,-20.083,140.333,copper,"cobalt;gold",SED_SSC,2.0,1.00,JORC,production,2000,2010,Glencore,open_pit,Shale and sandstone,Proterozoic,Intracratonic basin,"Sediment-hosted Cu-Co deposit in the Cloncurry district. Open pit operation.",Glencore reports,3,"sediment-hosted;open-pit;australia;proterozoic;cloncurry"
Golden Grove,AU,Western Australia,-28.750,116.967,copper,"zinc;gold;silver",VMS_BM,3.0,1.50,JORC,production,1970,1990,EMR Capital,underground,Felsic volcanic rocks,Archean,Back-arc basin,"VMS Cu-Zn-Au deposit. Gossan Hill and Scuddles underground mines.","EMR Capital JORC reports",4,"vms;underground;australia;archean"
Mount Elliott,AU,Queensland,-21.533,140.500,copper,"gold;iron",IOCG_MAG,5.0,0.50,JORC,development,1950,,China Molybdenum,open_pit,Magnetite skarn,Paleoproterozoic,Craton margin,"IOCG-style Fe-Cu-Au deposit. Part of the Mount Isa IOCG cluster with large magnetite resource.",CMOC JORC reports,4,"iocg;development;australia;proterozoic;cloncurry;magnetite"
