name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,status,discovery_year,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Carolina,CL,Atacama,-27.000,-70.000,copper,"gold;silver",IOCG_HEM,2.0,0.50,exploration,2000,,Cretaceous,Back-arc basin,Cu-Au IOCG prospect in the coastal belt of northern Chile.,USGS MRDS,3,"iocg;exploration;chile"
Julia,CL,Atacama,-27.500,-70.000,copper,"gold;silver",IOCG_HEM,2.0,0.60,exploration,2000,,Cretaceous,Back-arc basin,IOCG-style Cu-Au prospect in the Chilean Iron Belt.,USGS MRDS,3,"iocg;exploration;chile"
Duluth,US,Minnesota,47.500,-91.500,copper,"nickel;platinum;palladium",MAG,10.0,0.40,exploration,1950,Twin Metals,Paleoproterozoic,Intracratonic rift,"Giant magmatic Ni-Cu-PGE deposit. Duluth Complex. One of the world's largest undeveloped copper resources.",Twin Metals NI 43-101,5,"magmatic;exploration;giant;usa;minnesota;proterozoic;undeveloped"
Eagle,US,Michigan,46.767,-87.933,copper,"nickel;platinum",MAG,3.0,1.50,production,2002,Lundin Mining,Paleoproterozoic,Intracratonic rift,"Magmatic Ni-Cu-PGE deposit. High-grade underground mine in the Upper Peninsula.",Lundin Mining NI 43-101,4,"magmatic;underground;usa;michigan;high-grade"
Eagle East,US,Michigan,46.767,-87.933,copper,"nickel;platinum",MAG,2.0,1.50,development,2014,Lundin Mining,Paleoproterozoic,Intracratonic rift,"Eastern extension of Eagle Ni-Cu-PGE deposit. Underground development.",Lundin Mining NI 43-101,4,"magmatic;development;usa;michigan"
Santo Tomas,MX,Sinaloa,24.500,-106.500,copper,"gold;molybdenum",POR_CUAU,8.0,0.35,development,1990,Oroco Resource,Laramide,Continental arc,"Large undeveloped porphyry Cu-Au-Mo deposit. One of Mexico's largest copper resources.",Oroco Resource NI 43-101,4,"porphyry;development;mexico;giant"
El Arco,MX,Baja California,28.050,-113.467,copper,"gold;molybdenum",POR_CUAU,5.0,0.35,development,1970,Grupo Mexico,Laramide,Continental arc,"Large porphyry Cu-Au deposit in central Baja California.",Grupo Mexico reports,4,"porphyry;development;mexico"
Pilares,MX,Sonora,30.500,-109.667,copper,molybdenum,POR_CUMO,3.0,0.35,development,2000,Grupo Mexico,Laramide,Continental arc,"Porphyry Cu-Mo deposit. Development project adjacent to La Caridad.",Grupo Mexico reports,3,"porphyry;development;mexico"
Rajo,MX,Sonora,30.500,-110.000,copper,"molybdenum;silver",POR_CUMO,2.0,0.30,exploration,2000,,Laramide,Continental arc,"Porphyry Cu-Mo prospect in northern Sonora.",USGS MRDS,3,"porphyry;exploration;mexico"
Maddingley,AU,Victoria,-37.800,144.500,copper,"gold;silver",VMS_BM,2.0,0.50,exploration,1990,,Cambrian,Island arc,"VMS Cu-Au prospect in the Victorian goldfields region.",USGS MRDS,3,"vms;exploration;australia"
Thaduna,AU,Western Australia,-25.500,120.500,copper,"silver;gold",SED_SSC,2.0,1.00,exploration,1990,,Proterozoic,Intracratonic basin,"Sediment-hosted Cu-Ag deposit in the Yeneena Basin of Western Australia.",USGS MRDS,3,"sediment-hosted;exploration;australia"
Maroochydore,AU,Western Australia,-24.500,120.000,copper,"cobalt;silver",SED_SSC,3.0,1.50,exploration,1980,,Proterozoic,Intracratonic basin,"Sediment-hosted Cu-Co deposit in the Paterson Province.",USGS MRDS,3,"sediment-hosted;exploration;australia;cobalt"
White Range,AU,Northern Territory,-22.000,134.000,copper,"gold;silver;bismuth",IOCG_HEM,3.0,0.80,exploration,1960,,Proterozoic,Craton margin,"IOCG-style Cu-Au-Bi prospect in the Arunta Region of central Australia.",USGS MRDS,3,"iocg;exploration;australia"
Warrawoona,AU,Western Australia,-21.000,120.000,copper,"gold;silver",VMS_BM,2.0,1.00,exploration,2000,,Archean,Back-arc basin,"VMS Cu-Au prospect in the Archean Pilbara craton.",USGS MRDS,3,"vms;exploration;australia;archean"
Redbank,AU,Northern Territory,-17.500,137.500,copper,"silver;lead",SED_SSC,3.0,2.00,exploration,1960,,Proterozoic,Intracratonic basin,"High-grade sediment-hosted Cu-Pb-Ag deposit in the McArthur Basin.",USGS MRDS,3,"sediment-hosted;exploration;australia;high-grade"
Coppin Gap,AU,Western Australia,-20.833,120.333,copper,"gold;silver;molybdenum",POR_CUAU,2.0,0.30,exploration,2000,,Archean,Craton margin,"Porphyry Cu-Au-Mo prospect in the East Pilbara.",USGS MRDS,3,"porphyry;exploration;australia;archean"
Bamboo Creek,AU,Western Australia,-20.917,120.167,copper,"gold",VMS_BM,2.0,0.80,historical,closed,1900,,Archean,Back-arc basin,"Historic VMS Cu-Au mine in the Pilbara. Past-producing small deposit.",USGS MRDS,3,"vms;historic;australia;closed"
Susie,AU,Western Australia,-31.500,121.500,copper,"gold;silver",VMS_BM,2.0,1.00,exploration,1990,,Archean,Back-arc basin,"VMS Cu-Au prospect in the Eastern Goldfields of Western Australia.",USGS MRDS,3,"vms;exploration;australia"
Teutonic Bore,AU,Western Australia,-28.500,121.000,copper,"zinc;silver;gold",VMS_BM,2.0,3.00,historical,closed,1976,,Archean,Back-arc basin,"High-grade VMS Cu-Zn-Ag deposit. Past-producing mine in the Yilgarn.",USGS MRDS,4,"vms;historic;australia;archean;high-grade;closed"
Jaguar,AU,Western Australia,-28.300,121.200,copper,"zinc;silver;gold",VMS_BM,2.0,2.00,historical,closed,1990,,Archean,Back-arc basin,"VMS Cu-Zn-Ag deposit. Past-producing underground mine in the Yilgarn.",USGS MRDS,3,"vms;historic;australia;closed"
Bentley,AU,Western Australia,-28.300,121.200,copper,"zinc;silver;gold",VMS_BM,2.0,2.00,historical,closed,1990,,Archean,Back-arc basin,"VMS Cu-Zn-Ag deposit. Past-producing adjacent to Jaguar mine.",USGS MRDS,3,"vms;historic;australia;closed"
McClure,AU,Western Australia,-21.500,120.000,copper,cobalt,SED_SSC,2.0,1.50,exploration,2000,,Proterozoic,Intracratonic basin,"Sediment-hosted Cu-Co prospect in the Paterson Province.",USGS MRDS,3,"sediment-hosted;exploration;australia;cobalt"
Esperanza South,PE,Arequipa,-15.500,-72.500,copper,"gold;molybdenum",POR_CUMO,3.0,0.35,exploration,2010,,Paleocene,Continental arc,"Porphyry Cu-Mo prospect in the southern Peru copper belt.",USGS MRDS,3,"porphyry;exploration;peru"
Pucara,PE,Puno,-14.500,-70.000,copper,"gold",SKN_CALC,2.0,0.70,exploration,2000,,Miocene,Continental arc,"Skarn Cu-Au prospect in the Puno region of southern Peru.",USGS MRDS,3,"skarn;exploration;peru"
Sorato,PE,Cusco,-14.500,-71.500,copper,"gold;silver",POR_CUAU,2.0,0.35,exploration,2005,,Eocene-Oligocene,Continental arc,"Porphyry Cu-Au prospect in the Apurimac belt.",USGS MRDS,3,"porphyry;exploration;peru"
