name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,mining_method,host_rock_type,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Gibraltar,CA,British Columbia,52.517,-122.283,copper,"molybdenum;silver",POR_CUMO,5.0,0.30,NI43-101,production,1970,Taseko Mines,open_pit,Granodiorite,Early Jurassic,Island arc,"Large-tonnage porphyry Cu-Mo deposit in central BC. McLeese Lake and Gibraltar mines.",Taseko Mines NI 43-101,5,"porphyry;open-pit;canada;jurassic"
Mount Polley,CA,British Columbia,52.517,-121.600,copper,"gold;silver",POR_CUAU,3.0,0.35,NI43-101,production,1960,Imperial Metals,open_pit,Monzonite,Early Jurassic,Island arc,"Alkalic porphyry Cu-Au deposit. Breccia-hosted mineralization. Tailings breach 2014.",Imperial Metals NI 43-101,4,"porphyry;alkalic;open-pit;canada;jurassic"
Huckleberry,CA,British Columbia,53.683,-127.200,copper,"molybdenum;silver",POR_CUMO,3.0,0.35,NI43-101,closed,1960,Imperial Metals,open_pit,Granodiorite,Late Cretaceous,Island arc,"Porphyry Cu-Mo deposit. Past-producing open pit. Care and maintenance since 2016.",Imperial Metals NI 43-101,4,"porphyry;open-pit;canada;cretaceous;closed"
Kemess,CA,British Columbia,57.033,-126.750,copper,"gold;silver",POR_CUAU,5.0,0.20,NI43-101,closed,1990,Centerra Gold,open_pit,Monzonite porphyry,Early Jurassic,Island arc,"Alkalic porphyry Cu-Au deposit. Kemess South pit completed. Kemess Underground proposed.",Centerra Gold NI 43-101,4,"porphyry;alkalic;canada;jurassic;closed"
Schaft Creek,CA,British Columbia,57.400,-130.983,copper,"gold;molybdenum;silver",POR_CUAU,8.0,0.25,NI43-101,development,1970,Teck Resources,open_pit,Diorite porphyry,Early Jurassic,Island arc,"Large undeveloped porphyry Cu-Au-Mo deposit in the Stikine terrane. One of Canada's largest copper resources.",Teck Resources NI 43-101,5,"porphyry;undeveloped;giant;canada;jurassic;stikine"
Casino,CA,Yukon Territory,62.733,-138.817,copper,"gold;molybdenum;silver",POR_CUAU,10.0,0.20,NI43-101,development,1970,Western Copper and Gold,open_pit,Quartz monzonite porphyry,Late Cretaceous,Continental arc,"Giant porphyry Cu-Au-Mo deposit in the Yukon. One of Canada's largest undeveloped copper deposits.",Western Copper NI 43-101,5,"porphyry;undeveloped;giant;canada;yukon;cretaceous"
Brenda,CA,British Columbia,49.867,-120.000,copper,molybdenum,POR_CUMO,3.0,0.18,historical,closed,1954,,open_pit,Quartz monzonite,Jurassic,Island arc,"Historic porphyry Cu-Mo deposit. Produced 1969-1990. Type example of low-grade bulk porphyry mining in Canada.","USGS; BC MINFILE",4,"porphyry;historic;canada;jurassic;closed"
New Afton,CA,British Columbia,50.667,-120.533,copper,"gold;silver",POR_CUAU,3.0,0.70,NI43-101,production,1970,New Gold,block_caving,Monzonite porphyry,Early Jurassic,Island arc,"Alkalic porphyry Cu-Au deposit. Block cave operation adjacent to historic Afton pit.",New Gold NI 43-101,5,"porphyry;alkalic;block-caving;canada;jurassic"
Island Copper,CA,British Columbia,50.600,-127.083,copper,"molybdenum;gold;silver;rhenium",POR_CUMO,4.0,0.35,historical,closed,1966,,open_pit,Quartz feldspar porphyry,Jurassic,Island arc,"Historic porphyry Cu-Mo deposit. Produced 1971-1995. Pioneer of submarine tailings disposal. Reclaimed pit now a lake.",USGS MRDS,4,"porphyry;historic;canada;jurassic;closed"
Kemess Underground,CA,British Columbia,57.033,-126.750,copper,"gold;silver",POR_CUAU,3.0,0.30,NI43-101,development,2000,Centerra Gold,block_caving,Monzonite porphyry,Early Jurassic,Island arc,"Alkalic porphyry Cu-Au deposit. Underground extension of Kemess deposit. Permitted for block cave mining.",Centerra Gold NI 43-101,4,"porphyry;alkalic;block-caving;development;canada"
Kutcho Creek,CA,British Columbia,58.200,-128.500,copper,"zinc;silver;gold",VMS_BM,3.0,1.50,NI43-101,development,1968,Kutcho Copper,,Felsic volcanic rocks,Devonian,Island arc,"VMS Cu-Zn deposit in the Kutcho assemblage. Three lenses: Main, Sumac, and Esso.","Kutcho Copper NI 43-101; Barrett et al. (1996)",4,"vms;development;canada;devonian"
Granisle,CA,British Columbia,54.700,-126.200,copper,"molybdenum;silver",POR_CUMO,3.0,0.40,historical,closed,1965,,open_pit,Quartz diorite porphyry,Jurassic,Island arc,"Historic porphyry Cu-Mo deposit on Babine Lake. Produced 1966-1982.","BC MINFILE; Carter (1981)",3,"porphyry;historic;canada;jurassic;closed"
