name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,production_start_year,operator_company,mining_method,host_rock_type,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Quebrada Blanca,CL,Tarapaca,-20.917,-69.000,copper,"molybdenum;silver",POR_CUMO,12.0,0.35,NI43-101,production,1970,1994,Teck Resources,open_pit,Granodiorite porphyry,Eocene-Oligocene,Continental arc,"Major porphyry Cu-Mo deposit in northern Chile. Phase 2 expansion (QB2) commissioned in 2023.",Teck Resources NI 43-101,5,"porphyry;open-pit;chile;andina"
Zaldivar,CL,Antofagasta,-24.217,-69.083,copper,molybdenum,POR_CUMO,8.0,0.45,NI43-101,production,1981,1995,"Antofagasta Minerals/Barrick",open_pit,Granodiorite porphyry,Eocene-Oligocene,Continental arc,"Supergene-enriched porphyry Cu deposit adjacent to Escondida. Heap leach SX-EW operation.",Antofagasta Minerals reports,5,"porphyry;open-pit;supergene;chile"
Sierra Gorda,CL,Antofagasta,-22.867,-69.317,copper,"molybdenum;gold",POR_CUMO,10.0,0.35,NI43-101,production,1990,2014,"KGHM (55%) / Sumitomo",open_pit,Granodiorite porphyry,Paleocene,Continental arc,"Large-tonnage low-grade porphyry Cu-Mo-Au deposit. One of Chile's newest major mines.",KGHM technical reports,5,"porphyry;open-pit;chile"
Centinela,CL,Antofagasta,-23.350,-70.083,copper,"gold;molybdenum",POR_CUAU,15.0,0.40,NI43-101,production,1990,2001,Antofagasta Minerals,open_pit,Andesite porphyry,Eocene,Continental arc,"Porphyry Cu-Au deposit complex including Esperanza and Tesoro pits. Large SX-EW operation.",Antofagasta Minerals reports,5,"porphyry;open-pit;gold-rich;chile"
Lomas Bayas,CL,Antofagasta,-23.417,-69.500,copper,molybdenum,POR_CUMO,5.0,0.30,NI43-101,production,1860,1998,Glencore,open_pit,Granodiorite porphyry,Paleocene,Continental arc,"Low-grade porphyry Cu-Mo deposit. Heap leach operation producing copper cathodes.",Glencore reports,4,"porphyry;open-pit;low-grade;chile"
Ministro Hales,CL,Antofagasta,-22.283,-68.900,copper,"silver;gold",POR_CUMO,10.0,0.90,NI43-101,production,1970,2013,Codelco,open_pit,Granodiorite porphyry,Eocene,Continental arc,"High-arsenic porphyry Cu deposit near Chuquicamata. Codelco's newest mine with roasting plant.",Codelco annual reports,5,"porphyry;open-pit;high-grade;chile"
El Soldado,CL,Valparaiso,-32.650,-71.150,copper,silver,POR_CUMO,5.0,0.50,NI43-101,production,1840,1942,Anglo American,open_pit,Andesite and diorite,Cretaceous,Continental arc,"Structurally controlled porphyry Cu deposit. One of Chile's oldest operating mines.",Anglo American reports,4,"porphyry;open-pit;historic;chile;cretaceous"
Carmen de Andacollo,CL,Coquimbo,-30.233,-71.083,copper,gold,POR_CUAU,5.0,0.30,NI43-101,production,1990,1996,Teck Resources,open_pit,Diorite porphyry,Cretaceous,Continental arc,"Porphyry Cu-Au deposit with supergene enrichment. Produces copper concentrate and cathodes.",Teck Resources reports,4,"porphyry;open-pit;gold-rich;chile;cretaceous"
Caserones,CL,Atacama,-28.000,-69.533,copper,"molybdenum;silver",POR_CUMO,8.0,0.25,NI43-101,production,1990,2014,Lundin Mining,open_pit,Granodiorite porphyry,Miocene,Continental arc,"Large-tonnage porphyry Cu-Mo deposit in the Atacama region. High altitude operation.",Lundin Mining reports,4,"porphyry;open-pit;high-altitude;chile;miocene"
Diego de Almagro,CL,Atacama,-26.283,-70.050,copper,"gold;silver",IOCG_HEM,3.0,0.45,historical,production,1950,2010,Mantos Copper,underground,Andesite and tuff,Cretaceous,Back-arc basin,"IOCG-style Cu-Au deposit. Underground mine exploiting mantos and veins.",Mantos Copper reports,3,"iocg;underground;chile;cretaceous"
El Tesoro,CL,Antofagasta,-23.000,-69.050,copper,silver,POR_CUMO,3.0,0.80,NI43-101,production,1990,2001,Antofagasta Minerals,open_pit,Granodiorite,Permo-Triassic,Continental arc,"Exotic copper deposit with atacamite and chrysocolla mineralization. SX-EW cathode production.",Antofagasta Minerals reports,4,"porphyry;open-pit;exotic;chile"
Sierra Miranda,CL,Antofagasta,-24.250,-69.750,copper,gold,POR_CUMO,2.0,0.40,historical,production,1994,2007,,open_pit,Granodiorite porphyry,Paleocene,Continental arc,"Small porphyry Cu-Au deposit. Past-producing open pit mine.",USGS MRDS,3,"porphyry;open-pit;small;chile;closed"
Michilla,CL,Antofagasta,-22.717,-70.267,copper,silver,IOCG_HEM,2.0,1.50,historical,closed,1860,1960,,underground,Volcanic and sedimentary rocks,Jurassic,Back-arc basin,"Historic Cu-Ag mining district. Stratabound mantos and veins in Jurassic volcanic rocks. Production ceased.",USGS MRDS,3,"iocg;underground;historic;chile;jurassic;closed"
Cerro Negro Norte,CL,Atacama,-26.967,-70.200,copper,gold,IOCG_MAG,3.0,0.50,NI43-101,production,1990,2015,CAP Mineria,open_pit,Andesite and diorite,Cretaceous,Back-arc basin,"IOCG-style Fe-Cu deposit in the Chilean Iron Belt. Produces copper concentrate and iron ore.",CAP Mineria reports,4,"iocg;open-pit;iron-copper;chile"
Lince,CL,Antofagasta,-23.083,-69.533,copper,silver,POR_CUMO,2.0,0.65,historical,production,1950,1970,Codelco,open_pit,Granodiorite,Eocene,Continental arc,"Small porphyry Cu deposit. Exotic copper mineralization. Past-producing.",USGS MRDS,3,"porphyry;open-pit;exotic;chile;closed"
