name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Bor,RS,Bor District,44.083,22.100,copper,"gold;silver;molybdenum",POR_CUMO,5.0,0.40,JORC,production,Zijin Mining,Cretaceous,Continental arc,"Porphyry Cu-Au deposit. Historic Bor mining district. Modernized by Zijin.",Zijin Mining reports,5,"porphyry;open-pit;serbia;cretaceous"
Majdanpek,RS,Bor District,44.367,21.933,copper,"gold;silver",POR_CUAU,5.0,0.35,JORC,production,Zijin Mining,Cretaceous,Continental arc,"Porphyry Cu-Au deposit. Part of the Timok Magmatic Complex.",Zijin Mining reports,4,"porphyry;open-pit;serbia;cretaceous"
Chelopech,BG,Sofia,42.667,24.083,copper,"gold;silver",EPI_HS,3.0,1.00,JORC,production,Dundee Precious Metals,Cretaceous,Continental arc,"High-sulfidation epithermal Cu-Au deposit. Underground mine with modern processing.",Dundee Precious Metals JORC,5,"epithermal;underground;bulgaria;cretaceous;high-sulfidation"
Elatsite,BG,Sofia,42.750,24.000,copper,"gold;molybdenum;silver",POR_CUMO,3.0,0.35,production,Ellatzite-Med,Cretaceous,Continental arc,"Porphyry Cu-Au-Mo deposit. Bulgaria's largest copper mine.",USGS MRDS; Ellatzite-Med,4,"porphyry;open-pit;bulgaria;cretaceous"
Assarel,BG,Pazardzhik,42.500,24.100,copper,"gold;molybdenum",POR_CUMO,3.0,0.35,production,Assarel-Medet,Cretaceous,Continental arc,"Porphyry Cu-Au deposit. Open pit and SX-EW producing cathodes.",USGS MRDS,4,"porphyry;open-pit;bulgaria;cretaceous"
Siirt-Madenkoy,TR,Siirt,37.917,41.917,copper,zinc,VMS_BM,3.0,1.50,production,Park Electric,Cretaceous,Island arc,"VMS Cu-Zn deposit in SE Turkey. Underground mine.",USGS MRDS,3,"vms;underground;turkey;cretaceous"
Kure,TR,Kastamonu,41.833,33.833,copper,pyrite,VMS_BM,2.0,1.00,historical,closed,,Jurassic,Island arc,"Historic VMS Cu-pyrite deposit in the Pontides.",USGS MRDS,3,"vms;historic;turkey;jurassic;closed"
Cayeli,TR,Rize,41.083,40.750,copper,"zinc;gold;silver",VMS_BM,3.0,2.00,production,First Quantum Minerals,Cretaceous,Island arc,"High-grade VMS Cu-Zn deposit in the Eastern Pontides.",First Quantum Minerals reports,4,"vms;underground;turkey;cretaceous;high-grade"
Cerovo,RS,Bor District,44.083,22.100,copper,"gold;silver",POR_CUMO,2.0,0.35,development,Zijin Mining,Cretaceous,Continental arc,"Porphyry Cu deposit near Bor. Zijin expansion project.",Zijin Mining reports,3,"porphyry;development;serbia;cretaceous"
Jabal Sayid,SA,Al Madinah,23.500,40.333,copper,"gold;zinc;silver",VMS_BM,5.0,1.50,JORC,production,Barrick/ Maaden,Proterozoic,Craton margin,"VMS Cu-Zn-Au deposit. Major copper producer for Saudi Arabia.",Barrick Maaden JORC,5,"vms;underground;saudi-arabia;proterozoic"
Monywa,MM,Sagaing,22.100,95.033,copper,"molybdenum;silver",POR_CUAU,8.0,0.35,production,Wanbao Mining,Tertiary,Island arc,"Porphyry Cu deposit. Includes Letpadaung, Sabetaung, and Kyisintaung deposits. Chinese-operated.",USGS MRDS; Wanbao,5,"porphyry;open-pit;myanmar;tertiary"
Sin Quyen,VN,Lao Cai,22.333,103.833,copper,"gold;silver;rare_earth",IOCG_HEM,3.0,0.80,production,,Proterozoic,Craton margin,"IOCG-style Cu-Au-REE deposit. Vietnam's largest copper mine.",USGS MRDS,3,"iocg;open-pit;vietnam;proterozoic"
Kapan,AM,Syunik,39.200,46.417,copper,"gold;silver;zinc",VMS_BM,2.0,1.00,production,Chaarat Gold,Jurassic,Island arc,"VMS Cu-Zn-Au deposit. Historic mining district with modern exploration.",USGS MRDS,3,"vms;underground;armenia;jurassic"
Alaverdi,AM,Lori,41.100,44.667,copper,"zinc;gold;silver",VMS_BM,2.0,1.00,historical,closed,,Jurassic,Island arc,"Historic VMS Cu deposit in the Alaverdi district.",USGS MRDS,3,"vms;historic;armenia;jurassic;closed"
Aynak,AF,Logar,34.333,69.250,copper,"cobalt;silver",SED_SSC,10.0,2.00,exploration,,Neoproterozoic,Intracratonic rift,"Giant sediment-hosted Cu deposit. One of the world's largest undeveloped copper resources.",USGS assessment; Jiangxi Copper,5,"sediment-hosted;undeveloped;giant;afghanistan;proterozoic"
Talvivaara,FI,Kainuu,63.983,28.000,copper,"nickel;zinc;cobalt;uranium",SED_SSC,2.0,0.25,production,Terrafame,Proterozoic,Intracratonic basin,"Black shale-hosted Ni-Zn-Cu-Co deposit. Bioheapleaching operation.",Terrafame reports,4,"sediment-hosted;open-pit;finland;proterozoic;bioleaching"
Aguas Tenidas,ES,Andalusia,37.800,-6.650,copper,"zinc;lead;silver",VMS_BM,3.0,1.50,JORC,production,Sandfire/ Mubadala,Mississippian,Back-arc basin,"VMS Cu-Zn-Pb deposit in the Iberian Pyrite Belt. Underground mine.",Sandfire JORC,4,"vms;underground;spain;iberian-pyrite-belt"
Boliden Area,SE,Vasterbotten,64.750,20.950,copper,"gold;silver;tellurium",VMS_BM,3.0,1.00,production,Boliden,Proterozoic,Craton margin,"VMS Cu-Au deposit cluster. Includes Renstrom, Kristineberg, and Kankberg mines.",Boliden reports,4,"vms;underground;sweden;proterozoic"
Garpenberg,SE,Dalarna,60.317,16.200,copper,"zinc;lead;silver;gold",VMS_BM,2.0,0.50,production,Boliden,Proterozoic,Craton margin,"VMS Zn-Pb-Cu-Ag deposit. One of the world's oldest operating mines (13th century).",Boliden reports,5,"vms;underground;sweden;proterozoic;historic"
