name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,status,discovery_year,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Kalamazoo,US,Arizona,32.883,-110.567,copper,"molybdenum;silver",POR_CUMO,5.0,0.40,development,1990,,Laramide,Continental arc,"Deep porphyry Cu-Mo deposit under San Manuel pit. Large undeveloped resource.",USGS MRDS,4,"porphyry;development;arizona;laramide"
Copper Basin,US,Arizona,34.500,-112.533,copper,"molybdenum;silver",POR_CUMO,2.0,0.30,historical,closed,1870,,Laramide,Continental arc,"Historic porphyry Cu district. Multiple small pits near Prescott.",USGS MRDS,3,"porphyry;historic;arizona;closed"
Patagonia,US,Arizona,31.533,-110.750,copper,"silver;lead;zinc",SKN_CALC,2.0,0.80,historical,closed,1850,,Laramide,Continental arc,"Historic skarn Cu-Pb-Zn-Ag district. Mowry and Flux mines.",USGS MRDS,3,"skarn;historic;arizona;closed"
Hillsboro,US,New Mexico,32.917,-107.567,copper,"gold;silver",POR_CUMO,2.0,0.35,exploration,1970,,Laramide,Continental arc,"Porphyry Cu deposit in the Hillsboro district of southwestern New Mexico.",USGS MRDS,3,"porphyry;exploration;new-mexico"
Hanover,US,New Mexico,32.817,-108.083,copper,"zinc;silver",SKN_CALC,2.0,1.00,historical,closed,1880,,Laramide,Continental arc,"Historic Zn-Cu skarn deposit. Fierro-Hanover district. Past-producing.",USGS MRDS,3,"skarn;historic;new-mexico;closed"
Lakeshore,US,Arizona,32.500,-112.000,copper,"silver;gold",POR_CUMO,2.0,0.50,historical,closed,1970,,Laramide,Continental arc,"Historic porphyry Cu deposit on the Tohono O'odham Nation. Past-producing.",USGS MRDS,3,"porphyry;historic;arizona;closed"
Cerro Blanco,GT,Jutiapa,14.000,-89.500,copper,"gold;silver",POR_CUAU,3.0,0.35,exploration,2000,,Miocene,Continental arc,"Porphyry Cu-Au prospect in Guatemala. Part of Central American porphyry belt.",USGS MRDS,3,"porphyry;exploration;guatemala;miocene"
Cana Brava,GT,Izabal,15.500,-88.500,copper,"gold;silver",SKN_CALC,2.0,0.70,exploration,1980,,Cretaceous,Continental arc,"Skarn Cu-Au prospect in eastern Guatemala.",USGS MRDS,3,"skarn;exploration;guatemala"
Sierra Mojada,MX,Coahuila,27.500,-103.500,copper,"zinc;silver;lead",SED_SSC,2.0,1.00,exploration,1990,,Cretaceous,Intracratonic basin,"Sediment-hosted Cu-Zn-Ag deposit. Historic mining district being explored.",USGS MRDS,3,"sediment-hosted;exploration;mexico"
El Creston,MX,Sonora,28.500,-110.500,copper,molybdenum,POR_CUMO,2.0,0.30,exploration,2000,,Laramide,Continental arc,"Porphyry Cu-Mo prospect in central Sonora.",USGS MRDS,3,"porphyry;exploration;mexico"
Cananea North,MX,Sonora,31.000,-110.300,copper,"molybdenum",POR_CUMO,3.0,0.30,exploration,1990,Grupo Mexico,Laramide,Continental arc,"Northern extension of the giant Cananea porphyry system. Exploration drilling.",Grupo Mexico reports,3,"porphyry;exploration;mexico"
La Verde,MX,Michoacan,19.000,-102.000,copper,"gold;silver",SKN_CALC,2.0,0.70,exploration,2000,,Cretaceous-Tertiary,Continental arc,"Skarn Cu-Au deposit in the Michoacan district.",USGS MRDS,3,"skarn;exploration;mexico"
Mineral Hill,AU,New South Wales,-31.500,146.000,copper,"gold;silver",VMS_BM,2.0,1.00,production,1990,,Silurian-Devonian,Back-arc basin,"VMS Cu-Au-Zn deposit in the Cobar Basin. Underground operation.",USGS MRDS,3,"vms;underground;australia;cobar"
Whim Creek,AU,Western Australia,-20.833,117.833,copper,"zinc;lead;silver",VMS_BM,2.0,1.00,historical,closed,1880,,Archean,Back-arc basin,"Historic VMS Cu-Zn-Pb-Ag deposit in the Pilbara. Small past producer.",USGS MRDS,3,"vms;historic;australia;archean;closed"
Mons Cupri,AU,Western Australia,-20.833,117.833,copper,"zinc;lead;silver",VMS_BM,2.0,1.00,historical,closed,1870,,Archean,Back-arc basin,"Historic VMS Cu-Zn-Pb deposit in the Pilbara region.",USGS MRDS,3,"vms;historic;australia;closed"
Copper Hills,AU,Western Australia,-22.000,120.000,copper,"gold;silver",VMS_BM,2.0,0.80,exploration,1990,,Proterozoic,Back-arc basin,"VMS Cu-Au prospect in the Paterson Province of Western Australia.",USGS MRDS,3,"vms;exploration;australia"
Boddington South,AU,Western Australia,-32.733,116.350,copper,gold,POR_CUAU,3.0,0.10,exploration,2005,Newmont,Archean,Craton margin,"Southern extension of the giant Boddington Cu-Au porphyry system.",Newmont reports,4,"porphyry;exploration;australia;archean"
Mara,AU,Queensland,-20.000,140.000,copper,"gold;silver;cobalt",SED_SSC,3.0,0.80,development,2010,Aeon Metals,Proterozoic,Intracratonic basin,"Sediment-hosted Cu-Co deposit. Formerly part of Roseby project. Development stage.",Aeon Metals reports,3,"sediment-hosted;development;australia;proterozoic"
Osborne II,AU,Queensland,-22.100,140.567,copper,"gold;iron",IOCG_MAG,2.0,1.00,exploration,2000,,Paleoproterozoic,Craton margin,"Deep extension of the historic Osborne IOCG mine. Exploration drilling.",USGS MRDS,3,"iocg;exploration;australia;deep"
Mount Dore,AU,Queensland,-21.500,140.500,copper,"gold;silver;cobalt;rhenium",SED_SSC,3.0,0.80,development,1960,Aeon Metals,Proterozoic,Intracratonic basin,"Large sediment-hosted Cu-Co-Ag deposit. Part of the Roseby project in NW Queensland.",Aeon Metals JORC,4,"sediment-hosted;development;australia;proterozoic;polymetallic"
