name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Nurkazgan,KZ,Karaganda,49.500,73.000,copper,"gold;molybdenum;silver",POR_CUAU,5.0,0.50,JORC,development,1980,Kazakhmys,Carboniferous,Continental arc,"Porphyry Cu-Au deposit in the Nurinsky belt.",Kazakhmys reports,4,"porphyry;development;kazakhstan;carboniferous"
Koksai,KZ,Almaty,45.000,78.000,copper,"gold;silver",POR_CUAU,5.0,0.45,JORC,exploration,1970,,Carboniferous,Continental arc,"Porphyry Cu-Au deposit in the Balkhash-Ili belt.",USGS MRDS,3,"porphyry;exploration;kazakhstan"
Zhezkazgan,KZ,Karaganda,47.833,67.667,copper,"silver;lead;zinc",SED_SSC,8.0,1.00,JORC,production,1840,Kazakhmys,Carboniferous-Permian,Intracratonic basin,"Sediment-hosted stratiform Cu deposit. One of the world's largest SSC deposits.",Kazakhmys JORC,5,"sediment-hosted;underground;kazakhstan;giant;permian"
Boshekul,KZ,Pavlodar,51.500,74.500,copper,"gold;molybdenum",POR_CUAU,5.0,0.35,historical,closed,1960,,Cambrian-Ordovician,Island arc,"Historic porphyry Cu-Au deposit. Past-producing.",USGS MRDS,3,"porphyry;historic;kazakhstan;cambrian;closed"
Shatyrkul,KZ,Zhambyl,44.000,73.500,copper,molybdenum,POR_CUMO,2.0,0.35,exploration,1970,,Carboniferous,Continental arc,"Porphyry Cu-Mo prospect in the Chu-Ili belt.",USGS MRDS,3,"porphyry;exploration;kazakhstan"
Karatas,KZ,Karaganda,48.000,72.000,copper,molybdenum,POR_CUMO,2.0,0.40,exploration,1970,,Carboniferous,Continental arc,"Porphyry Cu-Mo prospect.",USGS MRDS,3,"porphyry;exploration;kazakhstan"
Erdenet,MN,Orkhon,49.033,104.133,copper,molybdenum,POR_CUMO,15.0,0.50,JORC,production,1964,Erdenet Mining Corp.,Permian-Triassic,Continental arc,"Largest porphyry Cu-Mo deposit in Mongolia. One of Asia's largest copper mines.",USGS MRDS; Erdenet reports,5,"porphyry;open-pit;giant;mongolia;permian"
Kharmagtai,MN,Omnogovi,44.000,106.000,copper,"gold;molybdenum",POR_CUAU,5.0,0.30,JORC,exploration,2000,Xanadu Mines,Devonian,Island arc,"Porphyry Cu-Au deposit in the South Gobi. Multiple porphyry centers.",Xanadu Mines JORC,4,"porphyry;exploration;mongolia;caob;devonian"
Khokh Adar,MN,Bayan-Olgii,48.500,90.000,copper,"gold;silver",POR_CUAU,3.0,0.30,exploration,1990,,,,Devonian,Island arc,"Porphyry Cu-Au prospect in Western Mongolia.",USGS MRDS,3,"porphyry;exploration;mongolia"
Oyut Ulaan,MN,Omnogovi,43.500,107.000,copper,gold,POR_CUAU,3.0,0.40,exploration,2000,,,Devonian,Island arc,"Porphyry Cu-Au prospect in South Gobi.",USGS MRDS,3,"porphyry;exploration;mongolia"
Elang,ID,West Nusa Tenggara,-8.967,116.867,copper,"gold;silver",POR_CUAU,8.0,0.40,JORC,development,1990,Newcrest,Pliocene,Island arc,"Porphyry Cu-Au deposit near Batu Hijau. Part of Newcrest Sumbawa operations.",Newcrest JORC,4,"porphyry;development;indonesia;pliocene"
Kucing Liar,ID,Papua,-4.050,137.117,copper,"gold;silver",POR_CUAU,5.0,0.80,JORC,exploration,2000,Freeport-McMoRan,Pliocene,Island arc,"Deep porphyry Cu-Au deposit. Extension of Grasberg system at depth.",Freeport-McMoRan JORC,5,"porphyry;exploration;indonesia;deep;grasberg"
Wetar,ID,Maluku,-7.783,126.333,copper,"gold;silver",VMS_BM,3.0,1.50,JORC,production,1990,Finders Resources,Pliocene,Island arc,"VMS Cu-Au deposit on Wetar Island. Heap leach copper cathode production.",Finders Resources JORC,3,"vms;open-pit;indonesia;pliocene"
Far Southeast,PH,Benguet,16.467,120.800,copper,"gold;silver;molybdenum",POR_CUAU,10.0,0.45,JORC,exploration,1970,Lepanto Consolidated,Miocene,Island arc,"Giant porphyry Cu-Au deposit beneath historic Lepanto mine. Deep porphyry system.",Lepanto JORC; USGS,5,"porphyry;exploration;giant;philippines;deep;miocene"
Boyongan,PH,Surigao del Norte,9.500,125.667,copper,"gold;silver",POR_CUAU,5.0,0.45,JORC,exploration,1990,Silangan Mindanao,Miocene,Island arc,"Porphyry Cu-Au deposit. Part of Silangan project.",Silangan Mindanao JORC,4,"porphyry;exploration;philippines;miocene"
Kingking,PH,Davao de Oro,7.500,126.000,copper,"gold;silver;molybdenum",POR_CUAU,8.0,0.30,JORC,exploration,1970,,Miocene,Island arc,"Porphyry Cu-Au deposit. Large tonnage low-grade.",USGS MRDS; St. Augustine Gold,3,"porphyry;exploration;philippines"
Didipio,PH,Nueva Vizcaya,16.317,121.467,copper,"gold;silver",POR_CUAU,3.0,0.40,JORC,production,1990,OceanaGold,"open_pit;underground",Miocene,Island arc,"Porphyry Cu-Au deposit. Combined open pit and underground.",OceanaGold JORC,4,"porphyry;open-pit;underground;philippines"
Sipalay,PH,Negros Occidental,9.750,122.500,copper,"gold;molybdenum",POR_CUMO,5.0,0.35,historical,production,1950,,open_pit,Miocene,Island arc,"Historic porphyry Cu deposit. Philippines' oldest large copper mine.",USGS MRDS,3,"porphyry;historic;philippines;closed"
Taysan,PH,Batangas,13.800,121.200,copper,"gold;molybdenum",POR_CUAU,5.0,0.25,JORC,exploration,1970,,Miocene,Island arc,"Porphyry Cu-Au deposit. Large tonnage low-grade system.",USGS MRDS,3,"porphyry;exploration;philippines"
