name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,mining_method,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Buenavista del Cobre,MX,Sonora,30.983,-110.300,copper,"molybdenum;silver",POR_CUMO,30.0,0.40,NI43-101,production,1760,Grupo Mexico,open_pit,Laramide,Continental arc,"Largest copper mine in Mexico. Part of Cananea complex. Continuous production for 250+ years.",Grupo Mexico reports,5,"giant;porphyry;open-pit;mexico;laramide"
San Nicolas,MX,Zacatecas,22.500,-102.500,copper,"zinc;gold;silver",VMS_BM,5.0,1.00,NI43-101,development,2000,Teck/Agnico Eagle,open_pit,Proterozoic,Back-arc basin,"VMS Cu-Zn deposit. Joint venture development project.",Teck Resources NI 43-101,4,"vms;development;mexico"
Piedras Verdes,MX,Sonora,26.917,-109.733,copper,molybdenum,POR_CUMO,3.0,0.30,NI43-101,production,2000,Invecture Group,open_pit,Laramide,Continental arc,"Porphyry Cu deposit. Open pit heap leach SX-EW operation.",USGS MRDS,3,"porphyry;open-pit;mexico"
El Pilar,MX,Sonora,29.167,-110.833,copper,molybdenum,POR_CUMO,3.0,0.25,NI43-101,exploration,1990,,,Laramide,Continental arc,"Undeveloped porphyry Cu deposit in northern Sonora.",USGS MRDS,3,"porphyry;exploration;mexico;laramide"
Milpillas,MX,Sonora,30.500,-110.800,copper,silver,POR_CUMO,3.0,0.50,historical,production,2000,2010,,underground,Laramide,Continental arc,"Underground porphyry Cu mine. Oxide chalcocite blanket. Purchased by Grupo Mexico.",USGS MRDS,3,"porphyry;underground;mexico;oxide;closed"
Tayahua,MX,San Luis Potosi,22.867,-100.883,copper,"zinc;silver;gold",SKN_CALC,2.0,0.80,NI43-101,development,2000,,underground,Cretaceous,Continental arc,"Skarn Zn-Cu-Ag deposit. Underground mine development.",USGS MRDS,3,"skarn;underground;development;mexico"
San Martin,MX,Jalisco,20.500,-104.000,copper,"silver;gold",VMS_BM,2.0,1.00,historical,closed,1970,,underground,Cretaceous,Island arc,"VMS Cu-Ag deposit in the Guerrero terrane. Past-producing.",USGS MRDS,3,"vms;historic;mexico;cretaceous;closed"
Los Verdes,MX,Sonora,29.250,-110.167,copper,"molybdenum;silver",POR_CUMO,2.0,0.40,historical,closed,1980,,open_pit,Laramide,Continental arc,"Small porphyry Cu-Mo deposit. Past-producing open pit.",USGS MRDS,3,"porphyry;historic;mexico;closed"
Samalayuca,MX,Chihuahua,31.000,-106.500,copper,"zinc;lead",SED_SSC,2.0,1.00,exploration,1990,,,,Cretaceous,Intracratonic basin,"Sediment-hosted Cu prospect in Chihuahua basin.",USGS MRDS,3,"sediment-hosted;exploration;mexico"
Inguaran,MX,Michoacan,19.000,-101.500,copper,silver,POR_CUMO,2.0,0.35,exploration,1990,,,,Tertiary,Continental arc,"Porphyry Cu prospect in the Michoacan-Guanajuato belt.",USGS MRDS,3,"porphyry;exploration;mexico"
Tecolote,MX,Sonora,28.500,-109.500,copper,"gold;molybdenum",POR_CUAU,2.0,0.30,exploration,2000,,,,Laramide,Continental arc,"Porphyry Cu-Au prospect in Sonora.",USGS MRDS,3,"porphyry;exploration;mexico"
Boleo,MX,Baja California Sur,27.067,-112.300,copper,"cobalt;zinc;manganese",SED_SSC,3.0,1.50,NI43-101,production,1868,Korea Resources,underground,Miocene,Intracratonic basin,"Unique sediment-hosted Cu-Co-Zn-Mn deposit. Historic Boleo district with Korean investment.",KORES NI 43-101,4,"sediment-hosted;underground;mexico;cobalt;miocene;historic"
