name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Cañariaco,PE,Lambayeque,-6.033,-79.283,copper,"gold;molybdenum;silver",POR_CUAU,5.0,0.35,NI43-101,exploration,1995,Cañariaco Copper,Miocene,Continental arc,"Porphyry Cu-Au deposit in northern Peru. Large tonnage low-grade system.",Cañariaco Copper NI 43-101,4,"porphyry;exploration;peru;miocene"
El Galeno,PE,Cajamarca,-6.967,-78.517,copper,"gold;molybdenum;silver",POR_CUAU,5.0,0.40,NI43-101,development,1995,China Minmetals,Miocene,Continental arc,"Porphyry Cu-Au-Mo deposit. Joint Chinese-Peruvian development project.",Minmetals reports,4,"porphyry;development;peru;miocene"
Rio Blanco,PE,Piura,-4.917,-79.417,copper,molybdenum,POR_CUMO,8.0,0.50,NI43-101,development,1990,Zijin Mining,Miocene,Continental arc,"Large undeveloped porphyry Cu-Mo deposit. Zijin Mining acquired in 2007. Environmental permitting.",Zijin NI 43-101,5,"porphyry;development;peru;miocene;giant"
Hierro Acari,PE,Arequipa,-15.500,-74.500,copper,"gold;iron",IOCG_MAG,3.0,0.50,exploration,2000,,Jurassic-Cretaceous,Back-arc basin,"IOCG-style Fe-Cu-Au prospect in the southern Peru coastal belt.",USGS MRDS,3,"iocg;exploration;peru"
Chapi,PE,Arequipa,-16.000,-72.000,copper,"gold;silver",POR_CUAU,3.0,0.30,exploration,2000,,Paleocene-Eocene,Continental arc,"Porphyry Cu-Au prospect in southern Peru.",USGS MRDS,3,"porphyry;exploration;peru"
Santa Rosa,PE,Ica,-14.000,-75.500,copper,"silver;gold",IOCG_MAG,2.0,0.50,exploration,1990,,Jurassic-Cretaceous,Back-arc basin,"IOCG-style Cu-Ag prospect in the coastal IOCG belt of Peru.",USGS MRDS,3,"iocg;exploration;peru"
Cerro Negro,PE,Lima,-12.000,-76.500,copper,"gold;silver",EPI_HS,2.0,0.40,exploration,1990,,Miocene,Continental arc,"High-sulfidation epithermal Au-Ag-Cu prospect in central Peru.",USGS MRDS,3,"epithermal;exploration;peru"
Coroccohuayco,PE,Cusco,-14.967,-71.400,copper,"gold;silver",SKN_CALC,3.0,0.50,NI43-101,development,2000,Glencore,Eocene-Oligocene,Continental arc,"Skarn Cu-Au deposit. Satellite of the Antapaccay-Tintaya complex. Future development.",Glencore NI 43-101,4,"skarn;development;peru"
San Nicolas,AR,San Juan,-30.500,-69.500,copper,"gold;silver",POR_CUAU,3.0,0.30,exploration,2000,,Miocene,Continental arc,"Porphyry Cu-Au prospect in the Cordillera Frontal of San Juan province.",USGS MRDS,3,"porphyry;exploration;argentina"
Rio Grande,AR,Salta,-24.500,-67.500,copper,"gold;molybdenum",POR_CUMO,5.0,0.35,NI43-101,development,1990,NGEx Minerals,Oligocene-Miocene,Continental arc,"Porphyry Cu-Au-Mo deposit. Large undeveloped resource in the Puna region.",NGEx Minerals NI 43-101,4,"porphyry;development;argentina;miocene"
Oro Cruz,AR,San Juan,-30.500,-69.500,copper,"gold;silver",POR_CUAU,3.0,0.40,exploration,2005,,Miocene,Continental arc,"Porphyry Cu-Au prospect in the Vicuna district of San Juan.",USGS MRDS,3,"porphyry;exploration;argentina"
Quebrada del Diablo,AR,Catamarca,-27.500,-66.500,copper,"gold",POR_CUAU,3.0,0.40,exploration,1990,,Miocene,Continental arc,"Porphyry Cu-Au prospect in the Farallon Negro district.",USGS MRDS,3,"porphyry;exploration;argentina"
Tigre,AR,Salta,-24.500,-67.500,copper,"gold",POR_CUAU,2.0,0.35,exploration,2000,,Oligocene-Miocene,Continental arc,"Porphyry Cu-Au prospect in the Puna belt of northern Argentina.",USGS MRDS,3,"porphyry;exploration;argentina"
