name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,production_start_year,operator_company,mining_method,host_rock_type,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Toromocho,PE,Junin,-11.617,-76.133,copper,"molybdenum;silver",POR_CUMO,15.0,0.48,NI43-101,production,1960,2013,Chinalco,open_pit,Granodiorite porphyry,Miocene,Continental arc,"Major porphyry Cu-Mo-Ag deposit in central Peru. One of the world's highest altitude copper mines at 4,500m.",Chinalco NI 43-101,5,"porphyry;open-pit;high-altitude;peru;miocene"
Constancia,PE,Cusco,-14.517,-71.583,copper,"molybdenum;silver;gold",POR_CUMO,8.0,0.30,NI43-101,production,1980,2014,Hudbay Minerals,open_pit,Quartz monzonite porphyry,Oligocene,Continental arc,"Porphyry Cu-Mo deposit in southern Peru. Includes Pampacancha satellite pit.",Hudbay Minerals NI 43-101,5,"porphyry;open-pit;peru;oligocene"
Antapaccay,PE,Cusco,-14.967,-71.400,copper,"gold;silver;molybdenum",SKN_CALC,8.0,0.55,NI43-101,production,1990,2012,Glencore,open_pit,Skarn and porphyry,Eocene-Oligocene,Continental arc,"Porphyry-skarn Cu-Au deposit near Tintaya. Replaced the historic Tintaya mine.",Glencore reports,5,"skarn;porphyry;open-pit;peru"
Haquira,PE,Apurimac,-14.117,-72.400,copper,"molybdenum;gold",POR_CUMO,8.0,0.40,NI43-101,development,1990,,First Quantum Minerals,open_pit,Granodiorite porphyry,Eocene,Continental arc,"Large undeveloped porphyry Cu-Mo deposit. Primary and secondary enrichment zones.",First Quantum Minerals NI 43-101,5,"porphyry;undeveloped;peru;supergene"
Los Chancas,PE,Apurimac,-14.117,-72.400,copper,molybdenum,POR_CUMO,10.0,0.35,NI43-101,development,1995,,Southern Copper,open_pit,Quartz monzonite porphyry,Eocene-Oligocene,Continental arc,"Undeveloped porphyry Cu-Mo deposit in the Apurimac belt. Feasibility study underway.",Southern Copper reports,4,"porphyry;undeveloped;peru"
Galeno,PE,Cajamarca,-6.967,-78.517,copper,"gold;molybdenum;silver",POR_CUAU,8.0,0.40,NI43-101,development,1995,,China Minmetals/Jiangxi Copper,open_pit,Diorite porphyry,Miocene,Continental arc,"Undeveloped porphyry Cu-Au-Mo deposit. Part of the Cajamarca mining district.",Minmetals reports,4,"porphyry;undeveloped;gold-rich;peru;miocene"
La Granja,PE,Cajamarca,-6.350,-79.117,copper,"gold;silver;zinc",POR_CUMO,15.0,0.45,NI43-101,exploration,1970,,Rio Tinto,,Quartz monzonite porphyry,Miocene,Continental arc,"Large undeveloped porphyry Cu deposit. Rio Tinto acquired in 2006. High altitude.",Rio Tinto reports,5,"porphyry;undeveloped;giant;peru;miocene"
Cotabambas,PE,Apurimac,-14.050,-72.483,copper,"gold;silver",POR_CUAU,5.0,0.35,NI43-101,exploration,1995,,Panoro Minerals,,Diorite porphyry,Eocene-Oligocene,Continental arc,"Porphyry Cu-Au deposit. Preliminary economic assessment completed. Significant gold credits.",Panoro Minerals NI 43-101,4,"porphyry;undeveloped;gold-rich;peru"
Magistral,PE,Ancash,-8.500,-77.600,copper,"molybdenum;silver",SKN_CALC,5.0,0.50,NI43-101,exploration,2010,,Nexa Resources (Milpo),,Skarn and limestone,Miocene,Continental arc,"Cu-Mo skarn deposit in the Cordillera Blanca. Exploration stage.",Nexa Resources reports,3,"skarn;exploration;peru"
Zafranal,PE,Arequipa,-16.083,-72.583,copper,"gold;molybdenum",POR_CUAU,5.0,0.35,NI43-101,development,2000,,Teck Resources,open_pit,Diorite porphyry,Paleocene,Continental arc,"Porphyry Cu-Au-Mo deposit. Feasibility study completed 2019.",Teck Resources NI 43-101,4,"porphyry;development;gold-rich;peru"
Trapiche,PE,Apurimac,-14.200,-72.300,copper,"molybdenum;gold",POR_CUMO,3.0,0.35,NI43-101,exploration,2010,,Buenaventura,,Quartz monzonite porphyry,Eocene,Continental arc,"Porphyry Cu-Mo deposit in the Apurimac porphyry belt.",Buenaventura reports,3,"porphyry;exploration;peru"
Chalcobamba,PE,Apurimac,-14.100,-72.317,copper,gold,SKN_CALC,5.0,0.45,NI43-101,development,2005,,MMG,open_pit,Skarn,Eocene-Oligocene,Continental arc,"Satellite skarn deposit at Las Bambas. Development planned as part of Las Bambas expansion.",MMG technical reports,4,"skarn;development;peru"
Berenguela,PE,Puno,-15.283,-70.567,copper,"silver;zinc;manganese",SED_SSC,3.0,1.00,NI43-101,exploration,2000,,Aftermath Silver,,Limestone and shale,Cretaceous,Back-arc basin,"Sediment-hosted Cu-Ag-Mn deposit. Unique polymetallic mineralization style.",Aftermath Silver reports,3,"sediment-hosted;silver;manganese;exploration;peru"
Don Javier,PE,Arequipa,-16.500,-71.500,copper,molybdenum,POR_CUMO,3.0,0.35,NI43-101,exploration,2005,,Zijin Mining,,Granodiorite porphyry,Paleocene,Continental arc,"Porphyry Cu-Mo deposit in the Yarabamba district of southern Peru.",Zijin Mining reports,3,"porphyry;exploration;peru"
Canariaco,PE,Lambayeque,-6.033,-79.283,copper,"gold;molybdenum;silver",POR_CUAU,5.0,0.35,NI43-101,exploration,1995,,Canariaco Copper,,Quartz feldspar porphyry,Miocene,Continental arc,"Porphyry Cu-Au deposit in northern Peru. Large tonnage low-grade system.",Canariaco Copper NI 43-101,4,"porphyry;exploration;peru;miocene"
