name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Degtyarsk,RU,Sverdlovsk,56.700,60.000,copper,"zinc;gold;silver",VMS_BM,3.0,1.50,Russian classification,production,1950,,Devonian,Island arc,"VMS Cu-Zn deposit in the Middle Urals. Historic producer near Yekaterinburg.",USGS MRDS,4,"vms;historic;russia;urals;devonian"
Karabash,RU,Chelyabinsk,55.500,60.333,copper,"zinc;gold;silver",VMS_BM,3.0,1.00,Russian classification,production,1950,,Devonian,Island arc,"VMS Cu-Zn deposit in the Southern Urals. Historic copper smelting center.",USGS MRDS,4,"vms;historic;russia;urals;devonian"
Blyavinskoye,RU,Orenburg,51.500,58.000,copper,"zinc;gold;silver",VMS_BM,2.0,1.50,Russian classification,production,1950,,Devonian,Island arc,"VMS Cu-Zn deposit in the Southern Urals. High-grade massive sulfide lenses.",USGS MRDS,3,"vms;russia;urals;devonian"
Safyanovskoye,RU,Sverdlovsk,57.500,61.500,copper,"zinc;gold;silver",VMS_BM,2.0,1.00,Russian classification,production,1980,,Devonian,Island arc,"VMS Cu-Zn deposit. Open pit mine near Rezh in the Middle Urals.",USGS MRDS,3,"vms;russia;urals;devonian"
Letneye,RU,Orenburg,51.000,58.500,copper,"zinc;gold;silver",VMS_BM,2.0,1.00,Russian classification,development,1970,,Devonian,Island arc,"VMS Cu-Zn deposit. Under development in the Southern Urals.",USGS MRDS,3,"vms;development;russia;urals"
Yuzhno-Sultanovskoye,RU,Chelyabinsk,54.000,60.000,copper,"zinc;gold",VMS_BM,2.0,1.00,Russian classification,exploration,1970,,Devonian,Island arc,"VMS Cu-Zn prospect in the Southern Urals.",USGS MRDS,3,"vms;exploration;russia;urals"
Novo-Uchalinskoye,RU,Bashkortostan,54.000,59.000,copper,"zinc;gold",VMS_BM,2.0,1.00,Russian classification,exploration,1980,,Devonian,Island arc,"VMS Cu-Zn deposit. Deep extension near Uchalinskoye mine.",USGS MRDS,3,"vms;exploration;russia;urals"
Zapolyarnoye,RU,Krasnoyarsk,69.333,88.167,copper,"nickel;platinum",MAG,3.0,1.50,Russian classification,production,1950,Nornickel,Permian-Triassic,Large Igneous Province,"Magmatic Ni-Cu deposit. Part of the Norilsk camp. Underground mine.",Nornickel reports,5,"magmatic;underground;russia;siberia;norilsk"
Oktyabrskoye,RU,Krasnoyarsk,69.333,88.167,copper,"nickel;platinum;palladium",MAG,5.0,2.00,Russian classification,production,1965,Nornickel,Permian-Triassic,Large Igneous Province,"Giant magmatic Ni-Cu-PGE deposit. World's largest palladium producer. Part of Norilsk-Talnakh.",Nornickel reports,5,"magmatic;underground;giant;russia;siberia;norilsk;palladium"
Kommunar,RU,Khakassia,54.500,90.000,copper,"gold",VMS_BM,2.0,1.00,Russian classification,historical,closed,1920,,Cambrian,Island arc,"Historic VMS Cu-Au deposit in the Kuznetsk Alatau. Past-producing.",USGS MRDS,3,"vms;historic;russia;cambrian;closed"
Fishtie,ZM,Central Province,-13.500,29.500,copper,cobalt,SED_SSC,3.0,2.00,NI43-101,development,2004,First Quantum Minerals,Neoproterozoic,Intracratonic rift,"Sediment-hosted Cu-Co deposit. First Quantum development project in Central Province.",First Quantum NI 43-101,4,"sediment-hosted;development;zambia;copperbelt"
Kalengwa,ZM,North-Western,-13.500,25.000,copper,"silver;cobalt",SED_SSC,2.0,2.50,historical,closed,1960,,Neoproterozoic,Intracratonic rift,"High-grade sediment-hosted Cu deposit. Past-producing open pit.",USGS MRDS,3,"sediment-hosted;historic;zambia;high-grade;closed"
Mpongwe,ZM,Copperbelt,-13.500,28.500,copper,cobalt,SED_SSC,2.0,1.50,exploration,1990,,Neoproterozoic,Intracratonic rift,"Sediment-hosted Cu-Co prospect in the Zambian Copperbelt.",USGS MRDS,3,"sediment-hosted;exploration;zambia"
Mashamba,CD,Haut-Katanga,-10.733,25.500,copper,cobalt,SED_SSC,5.0,3.00,NI43-101,production,1970,Glencore,Neoproterozoic,Intracratonic rift,"Exceptionally high-grade Cu-Co deposit in the Kolwezi district.",Glencore reports,4,"sediment-hosted;open-pit;drc;copperbelt;high-grade"
KOV,CD,Haut-Katanga,-10.600,25.500,copper,cobalt,SED_SSC,5.0,2.00,NI43-101,production,1970,Glencore,Neoproterozoic,Intracratonic rift,"Kamoto Oliveira Virgule. Major Cu-Co open pit in Kolwezi district.",Glencore reports,4,"sediment-hosted;open-pit;drc;copperbelt"
Kisenda,CD,Lualaba,-10.800,25.300,copper,cobalt,SED_SSC,3.0,1.50,exploration,2000,,Neoproterozoic,Intracratonic rift,"Sediment-hosted Cu-Co prospect in the western DRC Copperbelt.",USGS MRDS,3,"sediment-hosted;exploration;drc"
Lonshi,CD,Haut-Katanga,-12.500,28.000,copper,cobalt,SED_SSC,3.0,2.00,NI43-101,production,2000,Eurasian Resources Group,Neoproterozoic,Intracratonic rift,"Sediment-hosted Cu-Co deposit. Cross-border deposit extending into Zambia.",ERG reports,3,"sediment-hosted;open-pit;drc;zambia;copperbelt"
Tshifufia,CD,Kasai,-6.500,22.500,copper,silver,SED_SSC,2.0,1.00,exploration,1990,,Neoproterozoic,Intracratonic rift,"Sediment-hosted Cu prospect in the Kasai region outside the main Copperbelt.",USGS MRDS,3,"sediment-hosted;exploration;drc"
Otjihase,NA,Khomas,-22.500,17.000,copper,"gold;silver;pyrite",VMS_BM,2.0,1.50,NI43-101,production,1970,Trigon Metals,underground,Proterozoic,Craton margin,"VMS Cu-Au deposit in the Matchless Amphibolite Belt. Past-producing, restart planned.",Trigon Metals NI 43-101,3,"vms;underground;namibia;proterozoic"
Phalaborwa,ZA,Limpopo,-23.983,31.133,copper,"magnetite;vermiculite;baddeleyite",CARBONATITE,5.0,0.55,JORC,production,1920,Palabora Mining,Archean,Craton margin,"Unique carbonatite-hosted Cu deposit. South Africa's largest copper mine. Open pit + block cave.",Palabora Mining JORC,5,"carbonatite;open-pit;block-caving;south-africa;archean;giant"
