name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Mikheevskoye,RU,Chelyabinsk,53.500,60.000,copper,"gold;molybdenum",POR_CUMO,5.0,0.40,Russian classification,production,1970,Russian Copper Company,Devonian-Carboniferous,Continental arc,"Major porphyry Cu-Mo-Au deposit in the Southern Urals. Open pit operation.",USGS MRDS; RCC reports,4,"porphyry;open-pit;russia;urals"
Tominskoye,RU,Chelyabinsk,54.000,61.000,copper,"gold;molybdenum",POR_CUMO,5.0,0.35,Russian classification,development,1970,Russian Copper Company,Devonian-Carboniferous,Continental arc,"Undeveloped porphyry Cu-Mo deposit. Adjacent to Mikheevskoye.",USGS MRDS,3,"porphyry;development;russia;urals"
Bystrinskoye,RU,Zabaykalsky,51.500,119.000,copper,"gold;iron;magnetite",SKN_CALC,5.0,0.60,Russian classification,production,1980,Nornickel,Jurassic-Cretaceous,Continental arc,"Fe-Cu-Au skarn deposit in Transbaikalia. Magnetite-rich with copper-gold credits.",Nornickel reports; USGS,4,"skarn;open-pit;russia;transbaikalia"
Peschanka,RU,Chukotka,67.000,173.000,copper,"gold;molybdenum;silver",POR_CUAU,15.0,0.50,Russian classification,exploration,1970,,Cretaceous,Island arc,"Giant undeveloped porphyry Cu-Au-Mo deposit in Chukotka. Baimskaya project.",USGS; KAZ Minerals reports,5,"porphyry;undeveloped;giant;russia;chukotka;cretaceous"
Malmyzh,RU,Khabarovsk,50.000,136.000,copper,"gold;molybdenum",POR_CUAU,8.0,0.35,Russian classification,development,2000,,Cretaceous,Continental arc,"Large porphyry Cu-Au deposit in Khabarovsk region. Under development.",USGS; IGEM RAS,4,"porphyry;development;russia;far-east;cretaceous"
Gaiskoye,RU,Orenburg,51.500,58.500,copper,"zinc;gold;silver",VMS_BM,5.0,1.50,Russian classification,production,1950,,Devonian,Island arc,"VMS Cu-Zn deposit in the Southern Urals. One of Russia's largest copper producers.",USGS MRDS; Russian sources,4,"vms;open-pit;russia;urals;devonian"
Sibay,RU,Bashkortostan,52.667,58.667,copper,"zinc;gold;silver",VMS_BM,3.0,1.00,Russian classification,production,1930,,Devonian,Island arc,"Historic VMS Cu-Zn deposit in the Southern Urals. Deep open pit now flooded.",USGS MRDS,4,"vms;historic;russia;urals;devonian"
Uchalinskoye,RU,Bashkortostan,54.000,59.000,copper,"zinc;gold;silver",VMS_BM,3.0,1.00,Russian classification,production,1950,,Devonian,Island arc,"VMS Cu-Zn deposit in the Uchaly district. Major producer for the Southern Urals.",USGS MRDS,4,"vms;open-pit;russia;urals;devonian"
Podolskoye,RU,Bashkortostan,53.000,58.000,copper,"zinc;gold;silver",VMS_BM,3.0,1.50,Russian classification,development,1970,,Devonian,Island arc,"Undeveloped VMS Cu-Zn deposit in the Southern Urals.",USGS MRDS,3,"vms;development;russia;urals"
Priorskoye,RU,Orenburg,51.000,58.000,copper,"zinc;gold;silver",VMS_BM,2.0,1.00,Russian classification,exploration,1980,,Devonian,Island arc,"VMS Cu-Zn prospect in the Southern Urals.",USGS MRDS,3,"vms;exploration;russia;urals"
Krasnoyarsk,RU,Krasnoyarsk,54.000,92.000,copper,"nickel;platinum",MAG,2.0,0.50,Russian classification,exploration,2000,,Permian-Triassic,Large Igneous Province,"Magmatic Ni-Cu-PGE prospect in the Siberian Traps.",USGS MRDS,3,"magmatic;exploration;russia;siberia;siberian-traps"
Kingash,RU,Krasnoyarsk,56.000,96.000,copper,"nickel;platinum;cobalt",MAG,3.0,0.40,Russian classification,exploration,1980,,Permian-Triassic,Large Igneous Province,"Magmatic Ni-Cu deposit in the Eastern Sayan. Large sulfide resource.",USGS MRDS,3,"magmatic;exploration;russia;siberia"
Yubileynoye,RU,Bashkortostan,53.000,59.000,copper,"zinc;gold;silver",VMS_BM,2.0,1.50,Russian classification,development,1990,,Devonian,Island arc,"VMS Cu-Zn deposit in the Uchaly district. High-grade lenses.",USGS MRDS,3,"vms;development;russia;urals"
Aktash,RU,Altai Republic,50.000,87.000,copper,"gold;silver",SKN_CALC,2.0,0.80,Russian classification,exploration,1980,,Devonian,Continental arc,"Skarn Cu-Au prospect in the Altai Mountains.",USGS MRDS,3,"skarn;exploration;russia;altai"
Kyzyl-Tashtyg,RU,Tuva,52.000,97.000,copper,"zinc;lead;gold;silver",VMS_BM,3.0,1.00,Russian classification,development,1970,,Cambrian,Island arc,"VMS Cu-Zn-Pb deposit in the Tuva region. Polymetallic.",USGS MRDS,3,"vms;development;russia;tuva;cambrian"
