name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,operator_company,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Josemaria,AR,San Juan,-28.500,-69.500,copper,"gold;silver",POR_CUAU,10.0,0.30,NI43-101,development,Lundin Mining,Miocene,Continental arc,"Large porphyry Cu-Au deposit. Part of Vicuna district with Filo del Sol.",Lundin Mining NI 43-101,5,"porphyry;development;argentina;miocene"
Los Azules,AR,San Juan,-31.500,-70.500,copper,"gold;silver;molybdenum",POR_CUMO,15.0,0.40,NI43-101,development,McEwen Mining,Miocene,Continental arc,"Large porphyry Cu deposit in the Cordillera Frontal. One of Argentina's largest copper resources.",McEwen Mining NI 43-101,5,"porphyry;development;giant;argentina;miocene"
Taca Taca,AR,Salta,-24.500,-67.500,copper,"gold;molybdenum",POR_CUAU,12.0,0.35,NI43-101,development,First Quantum Minerals,Oligocene-Miocene,Continental arc,"Porphyry Cu-Au-Mo deposit in the Puna region. Large tonnage.",First Quantum NI 43-101,5,"porphyry;development;giant;argentina"
El Pachon,AR,San Juan,-31.750,-70.417,copper,"molybdenum;silver",POR_CUMO,15.0,0.45,NI43-101,development,Glencore,Miocene,Continental arc,"Large porphyry Cu-Mo deposit in the Cordillera Principal. Glencore's largest greenfield copper project.",Glencore NI 43-101,5,"porphyry;development;giant;argentina;miocene"
Agua Rica,AR,Catamarca,-27.500,-66.500,copper,"gold;molybdenum;silver",POR_CUAU,8.0,0.40,NI43-101,development,Yamana/Glencore,Miocene,Continental arc,"Porphyry Cu-Au-Mo deposit. Potential integration with Alumbrera infrastructure.",Yamana NI 43-101,4,"porphyry;development;argentina;miocene"
Filo del Sol,AR,San Juan,-28.500,-69.500,copper,"gold;silver",POR_CUAU,8.0,0.35,NI43-101,exploration,Filo Mining,Miocene,Continental arc,"High-sulfidation epithermal Cu-Au-Ag overprinting porphyry. Large resource.",Filo Mining NI 43-101,4,"porphyry;epithermal;exploration;argentina;miocene"
El Altar,AR,San Juan,-31.500,-70.500,copper,"gold",POR_CUAU,10.0,0.35,NI43-101,exploration,Stillwater Critical Minerals,Miocene,Continental arc,"Large porphyry Cu-Au deposit in the Cordillera Principal.",USGS MRDS,4,"porphyry;exploration;argentina;miocene"
San Jorge,AR,Mendoza,-32.500,-69.500,copper,gold,POR_CUAU,3.0,0.30,NI43-101,exploration,,Miocene,Continental arc,"Porphyry Cu-Au deposit.",USGS MRDS,3,"porphyry;exploration;argentina"
Cascabel,EC,Imbabura,0.367,-78.583,copper,"gold;silver",POR_CUAU,15.0,0.45,NI43-101,exploration,SolGold,Miocene,Island arc,"Giant porphyry Cu-Au deposit. Alpala deposit is world-class. One of the largest recent copper discoveries.",SolGold NI 43-101,5,"porphyry;exploration;giant;ecuador;miocene"
Mirador,EC,Zamora Chinchipe,-3.583,-78.450,copper,"gold;silver",POR_CUAU,8.0,0.50,NI43-101,production,Ecuacorriente (CRCC-Tongguan),Miocene,Continental arc,"Porphyry Cu-Au deposit. Ecuador's first large-scale copper mine.",CRCC-Tongguan NI 43-101,5,"porphyry;open-pit;ecuador;miocene"
San Carlos,EC,Zamora Chinchipe,-3.500,-78.500,copper,"gold;molybdenum",POR_CUMO,5.0,0.40,exploration,,Miocene,Continental arc,"Porphyry Cu-Mo prospect in the Zamora belt.",USGS MRDS,3,"porphyry;exploration;ecuador"
Mocoa,CO,Putumayo,1.150,-76.650,copper,molybdenum,POR_CUMO,5.0,0.40,NI43-101,exploration,Libero Copper,Jurassic,Continental arc,"Porphyry Cu-Mo deposit in the Mocoa-Putumayo belt.",Libero Copper NI 43-101,4,"porphyry;exploration;colombia;jurassic"
Quebradona,CO,Antioquia,6.500,-76.000,copper,"gold;silver",POR_CUAU,3.0,0.50,NI43-101,exploration,AngloGold Ashanti/ BHP,Miocene,Continental arc,"Porphyry Cu-Au deposit. Anglogold-BHP joint venture.",USGS MRDS,3,"porphyry;exploration;colombia;miocene"
Cristalino,BR,Para,-6.433,-50.067,copper,gold,IOCG_HEM,8.0,0.60,JORC,development,Vale,Archean,Craton margin,"IOCG Cu-Au deposit adjacent to Sossego. Large resource under development.",Vale JORC,5,"iocg;development;brazil;carajas;archean"
Alemao,BR,Para,-6.433,-50.067,copper,gold,IOCG_HEM,5.0,0.70,JORC,development,Vale,Archean,Craton margin,"IOCG Cu-Au deposit in the Carajas province. High-grade hypogene.",Vale JORC,4,"iocg;development;brazil;carajas;archean"
Bacaba,BR,Para,-6.500,-50.500,copper,gold,IOCG_HEM,3.0,0.70,exploration,Vale,Archean,Craton margin,"IOCG Cu-Au prospect in Carajas.",Vale reports,3,"iocg;exploration;brazil;carajas"
Mate Verde,CL,Antofagasta,-22.500,-69.000,copper,"silver;molybdenum",POR_CUMO,5.0,0.35,NI43-101,exploration,,Paleocene-Eocene,Continental arc,"Porphyry Cu-Mo prospect near Spence.",USGS MRDS,3,"porphyry;exploration;chile"
