name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,mining_method,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Ray,US,Arizona,33.183,-110.983,copper,"silver;molybdenum",POR_CUMO,8.0,0.30,NI43-101,production,1870,ASARCO,open_pit,Laramide,Continental arc,"Large porphyry Cu deposit. Part of the Ray Complex in the Mineral Creek district.",USGS MRDS; ASARCO reports,4,"porphyry;open-pit;arizona;laramide"
Pinto Valley,US,Arizona,33.383,-110.967,copper,"molybdenum;silver",POR_CUMO,5.0,0.30,NI43-101,production,1870,Capstone Copper,open_pit,Laramide,Continental arc,"Porphyry Cu-Mo deposit. Reopened by Capstone in 2023 with automation investment.",Capstone Copper NI 43-101,4,"porphyry;open-pit;arizona;laramide"
Miami,US,Arizona,33.400,-110.883,copper,"silver;molybdenum",POR_CUMO,5.0,0.40,NI43-101,production,1870,Freeport-McMoRan,open_pit,Laramide,Continental arc,"Historic porphyry Cu deposit. Producing continuously since 1911. Leach-SX-EW operation.",USGS; Freeport-McMoRan,4,"porphyry;open-pit;historic;arizona;laramide"
Chino,US,New Mexico,32.783,-108.067,copper,"molybdenum;silver",POR_CUMO,8.0,0.40,NI43-101,production,1800,Freeport-McMoRan,open_pit,Laramide,Continental arc,"Major porphyry Cu-Mo deposit. Santa Rita pit. One of the oldest continuously mined sites in North America.",Freeport-McMoRan NI 43-101,5,"porphyry;open-pit;historic;new-mexico;laramide"
Tyrone,US,New Mexico,32.617,-108.350,copper,"silver;molybdenum",POR_CUMO,5.0,0.30,NI43-101,production,1870,Freeport-McMoRan,open_pit,Laramide,Continental arc,"Porphyry Cu deposit in the Burro Mountains. SX-EW operation producing copper cathodes.",Freeport-McMoRan reports,4,"porphyry;open-pit;new-mexico;laramide"
Robinson,US,Nevada,39.250,-114.967,copper,"gold;molybdenum;silver",POR_CUMO,5.0,0.55,NI43-101,production,1868,KGHM,open_pit,Laramide,Continental arc,"Porphyry Cu-Au-Mo deposit. Nevada's largest copper producer near Ely.",KGHM NI 43-101,5,"porphyry;open-pit;nevada;laramide"
Lisbon Valley,US,Utah,38.000,-109.200,copper,silver,SED_SSC,3.0,0.50,NI43-101,production,1950,Lisbon Valley Mining,open_pit,Cretaceous,Intracratonic basin,"Sediment-hosted Cu deposit in the Paradox Basin. Oxide and sulfide operation.",USGS MRDS,3,"sediment-hosted;open-pit;utah;cretaceous"
Copper Flat,US,New Mexico,33.033,-107.167,copper,"gold;silver;molybdenum",POR_CUMO,3.0,0.30,NI43-101,development,1970,,,Laramide,Continental arc,"Undeveloped porphyry Cu deposit in the Hillsboro district.",USGS MRDS,3,"porphyry;undeveloped;new-mexico;laramide"
Pumpkin Hollow,US,Nevada,38.783,-115.000,copper,"gold;silver;iron",IOCG_MAG,5.0,1.50,NI43-101,development,1960,Nevada Copper,underground,Cretaceous,Craton margin,"IOCG-style Fe-Cu deposit. Underground and open pit development.",Nevada Copper NI 43-101,4,"iocg;underground;development;nevada"
Continental,US,Montana,46.017,-112.533,copper,"silver;molybdenum",POR_CUMO,5.0,0.30,NI43-101,development,1950,,,Laramide,Continental arc,"Large undeveloped porphyry Cu-Mo deposit adjacent to historic Butte mine.",USGS MRDS,3,"porphyry;undeveloped;montana;laramide"
Ann Mason,US,Nevada,39.000,-119.500,copper,"molybdenum;gold;silver",POR_CUMO,8.0,0.30,NI43-101,development,1970,,,Jurassic,Island arc,"Undeveloped porphyry Cu-Mo deposit in the Yerington district.",USGS MRDS,3,"porphyry;undeveloped;nevada;jurassic"
Twin Buttes,US,Arizona,31.883,-111.050,copper,"silver;molybdenum",POR_CUMO,5.0,0.40,historical,closed,1870,,open_pit,Laramide,Continental arc,"Historic porphyry Cu deposit south of Tucson. Past-producing. Now reclaimed.",USGS MRDS,3,"porphyry;historic;arizona;laramide;closed"
Copper Mountain,US,Wyoming,43.450,-108.500,copper,"molybdenum;silver",POR_CUMO,3.0,0.40,historical,closed,1880,,open_pit,Archean,Craton margin,"Archean porphyry Cu deposit in the Owl Creek Mountains. Small past producer.",USGS MRDS,3,"porphyry;historic;wyoming;archean;closed"
Mineral Park,US,Arizona,35.367,-114.150,copper,"molybdenum;silver",POR_CUMO,3.0,0.20,NI43-101,production,1870,Origin Mining,open_pit,Laramide,Continental arc,"Porphyry Cu-Mo deposit. Reopened as leach operation.",USGS MRDS,3,"porphyry;open-pit;arizona;laramide"
Oracle Ridge,US,Arizona,32.567,-110.750,copper,"gold;silver",SKN_CALC,2.0,2.00,NI43-101,development,1970,,underground,Laramide,Continental arc,"High-grade skarn Cu-Au deposit in the Santa Catalina Mountains. Underground development.",USGS MRDS,3,"skarn;underground;development;arizona;high-grade"
