name_en,country_iso,state_province,latitude,longitude,primary_mineral,secondary_minerals,deposit_type_code,tonnage_mt,tonnage_grade_pct,tonnage_confidence,status,discovery_year,operator_company,mining_method,host_rock_age_text,tectonic_setting,summary_en,data_source,data_quality_score,tags
Johnson Camp,US,Arizona,32.083,-110.050,copper,"molybdenum;silver",POR_CUMO,3.0,0.30,NI43-101,production,1870,Nord Resources,open_pit,Laramide,Continental arc,"Porphyry Cu deposit. Open pit SX-EW operation in the Texas Canyon district.",USGS MRDS,3,"porphyry;open-pit;arizona;laramide"
Ely,US,Nevada,39.250,-114.900,copper,"gold;silver;molybdenum",POR_CUMO,3.0,0.45,historical,closed,1870,,open_pit,Laramide,Continental arc,"Historic porphyry Cu district. Includes Robinson, Veteran, and Ruth pits.",USGS MRDS,4,"porphyry;historic;nevada;laramide;closed"
Battle Mountain,US,Nevada,40.650,-116.933,copper,"gold;silver",POR_CUAU,3.0,0.35,NI43-101,production,1985,SSR Mining,open_pit,Tertiary,Continental arc,"Porphyry Cu-Au deposit. Marigold and Lone Tree mines in the Battle Mountain district.",USGS MRDS,3,"porphyry;open-pit;nevada;tertiary"
Santa Rita,US,New Mexico,32.783,-108.067,copper,"molybdenum;silver",POR_CUMO,5.0,0.40,historical,closed,1800,,open_pit,Laramide,Continental arc,"Historic porphyry Cu-Mo deposit. One of the oldest mining sites in North America.",USGS MRDS,4,"porphyry;historic;new-mexico;laramide"
Ajo,US,Arizona,32.367,-112.867,copper,"molybdenum;silver",POR_CUMO,5.0,0.35,historical,closed,1850,,open_pit,Laramide,Continental arc,"Historic porphyry Cu deposit. New Cornelia pit. Mined 1917-1985.",USGS MRDS,4,"porphyry;historic;arizona;laramide;closed"
Globe-Miami,US,Arizona,33.400,-110.800,copper,"silver;molybdenum",POR_CUMO,3.0,0.40,historical,closed,1870,,open_pit,Laramide,Continental arc,"Historic porphyry Cu district. Includes Old Dominion and Inspiration mines.",USGS MRDS,3,"porphyry;historic;arizona;laramide;closed"
Superior,US,Arizona,33.300,-111.100,copper,"silver;gold",VMS_BM,3.0,1.50,historical,closed,1870,,underground,Laramide,Continental arc,"Historic Cu-Ag-Au deposit. Magma mine. Produced 1910-1996. Deepest mine shaft in Arizona.",USGS MRDS,4,"vms;historic;arizona;underground;deep;closed"
Brenda,CA,British Columbia,49.867,-120.000,copper,molybdenum,POR_CUMO,3.0,0.18,historical,closed,1954,,open_pit,Jurassic,Island arc,"Historic porphyry Cu-Mo deposit. Produced 1969-1990. Type example of low-grade bulk porphyry mining.",BC MINFILE,4,"porphyry;historic;canada;jurassic;closed"
Similco,CA,British Columbia,49.200,-120.583,copper,"gold;silver",POR_CUMO,3.0,0.35,historical,closed,1970,,open_pit,Jurassic,Island arc,"Historic porphyry Cu-Au deposit in the Similkameen district. Produced 1972-1996.",BC MINFILE,3,"porphyry;historic;canada;jurassic;closed"
Fish Lake,CA,British Columbia,55.500,-125.000,copper,"gold;silver;molybdenum",POR_CUAU,5.0,0.25,NI43-101,exploration,1970,,,Early Jurassic,Island arc,"Porphyry Cu-Au-Mo deposit in the Stikine terrane. Large tonnage low-grade.,"BC MINFILE,3,"porphyry;exploration;canada;stikine;jurassic"
Storie,CA,British Columbia,58.500,-129.000,copper,"molybdenum;silver",POR_CUMO,3.0,0.35,NI43-101,exploration,1970,,,Cretaceous,Island arc,"Porphyry Cu-Mo prospect in the Cassiar district of northern BC.",BC MINFILE,3,"porphyry;exploration;canada;cretaceous"
Berg,CA,British Columbia,53.833,-127.417,copper,"molybdenum;silver",POR_CUMO,3.0,0.30,NI43-101,exploration,1970,Surge Copper,,Cretaceous,Island arc,"Porphyry Cu-Mo deposit near Huckleberry. Large tonnage low-grade.,"Surge Copper NI 43-101,3,"porphyry;exploration;canada;cretaceous"
Prosperity,CA,British Columbia,51.467,-123.200,copper,"gold;silver",POR_CUAU,10.0,0.23,NI43-101,development,1990,Taseko Mines,,Late Cretaceous,Continental arc,"Giant porphyry Cu-Au deposit. Formerly Fish Lake. Taseko's flagship development project.",Taseko Mines NI 43-101,5,"porphyry;development;giant;canada;cretaceous"
Harper Creek,CA,British Columbia,51.600,-119.500,copper,"gold;silver",POR_CUAU,5.0,0.30,NI43-101,development,1970,Yellowhead Mining,,Jurassic,Island arc,"Porphyry Cu-Au deposit in south-central BC. Large tonnage with gold credits.",Yellowhead NI 43-101,3,"porphyry;development;canada;jurassic"
Mount Isa Copper,AU,Queensland,-20.717,139.483,copper,"lead;zinc;silver",SED_SSC,10.0,3.00,JORC,production,1923,Glencore,underground,Paleoproterozoic,Intracratonic rift,"World-class sediment-hosted Cu-Pb-Zn deposit. One of the world's largest zinc-lead-silver mines with significant copper.",Glencore JORC,5,"sediment-hosted;underground;giant;australia;proterozoic;isa"
Cobar,AU,New South Wales,-31.500,145.833,copper,"gold;zinc;lead",VMS_BM,3.0,2.00,JORC,production,1870,Glencore/Aeris,underground,Silurian-Devonian,Back-arc basin,"VMS Cu-Au-Zn district. Includes CSA, Peak, and Endeavor mines. World-class Cobar Basin.",USGS; Glencore JORC,5,"vms;underground;australia;cobar;paleozoic"
Peak,AU,New South Wales,-31.500,145.833,copper,"gold;silver;lead;zinc",VMS_BM,2.0,1.50,JORC,production,1880,Aurelia Metals,underground,Silurian-Devonian,Back-arc basin,"VMS Cu-Au deposit in the Cobar Basin. High-grade gold with copper credits.",Aurelia Metals JORC,4,"vms;underground;australia;cobar;gold-rich"
Endeavor,AU,New South Wales,-31.600,145.900,copper,"zinc;lead;silver",VMS_BM,2.0,1.00,JORC,production,1970,CBH Resources,underground,Silurian-Devonian,Back-arc basin,"VMS Zn-Pb-Cu deposit in the Cobar Basin. Large-tonnage base metal mine.",CBH Resources JORC,4,"vms;underground;australia;cobar"
