name,country_iso,old_lat,old_lon,new_lat,new_lon,delta_deg,source_name
Chuquicamata,CL,-22.3,-68.9,-22.289444,-68.901111,0.0106,Chuquicamata
Escondida,CL,-24.267,-69.067,-24.27222,-69.068275,0.0054,Escondida
El Teniente,CL,-34.083,-70.35,-34.083,-70.35,0.0,Manual: known El Teniente mine coordinates
Collahuasi,CL,-20.983,-68.833,-20.983052,-68.673347,0.1597,Collahuasi
Los Bronces,CL,-33.15,-70.267,-33.149265,-70.280914,0.0139,OpenMindat Río Blanco-Los Bronces
Los Pelambres,CL,-31.717,-70.483,-31.713889,-70.488889,0.0067,"Los Pelambres Mine, Salamanca, Choapa Province, Coquimbo, Chile"
Radomiro Tomic,CL,-22.217,-68.9,-22.44,-68.91,0.2232,Manual/official mine area
Andina,CL,-33.15,-70.25,-33.15,-70.25,0.0,Manual: Andina/Río Blanco mine area
El Abra,CL,-21.917,-68.833,-21.920556,-68.8325,0.0036,El  Abra
Escondida Norte,CL,-24.2,-69.1,-24.2,-69.1,0.0,Manual: northern Escondida pit area
Spence,CL,-22.783,-69.25,-22.7833,-69.25,0.0003,Manual: mine site; OpenMindat appears offset
Cerro Colorado,CL,-20.05,-69.267,-20.044722,-69.259722,0.009,Cerro  Colorado
Cerro Verde,PE,-16.533,-71.55,-16.535278,-71.591667,0.0417,"Cerro Verde Mine, Yarabamba District, Arequipa Province, Arequipa, Peru"
Las Bambas,PE,-14.1,-72.317,-14.07164,-72.33606,0.0342,OpenMindat Las Bambas/Chalcobamba
Antamina,PE,-9.533,-77.05,-9.553994,-77.047631,0.0211,OpenStreetMap Antamina mine
Quellaveco,PE,-17.117,-70.917,-17.097726,-70.627246,0.2904,Quellaveco
Cuajone,PE,-17.033,-70.717,-17.045556,-70.707222,0.0159,Cuajone
Toquepala,PE,-17.25,-70.633,-17.245252,-70.613077,0.0205,Toquepala
Tia Maria,PE,-17.017,-71.767,-17.017,-71.767,0.0,Manual: Tía María project area
Michiquillay,PE,-7.033,-78.317,-7.038378,-78.321445,0.007,Michiquillay
Bingham Canyon,US,40.533,-112.15,40.531156,-112.12975,0.0203,OpenStreetMap Bingham Canyon Mine
Morenci,US,33.083,-109.333,33.090556,-109.366667,0.0345,Wikipedia/OpenMindat Morenci Mine
Resolution,US,33.3,-111.083,33.303112,-111.10012,0.0174,Wikipedia Resolution Copper
Safford,US,32.85,-109.667,32.85,-109.667,0.0,Manual: Safford mine area
Bagdad,US,34.583,-113.217,34.587543,-113.241586,0.025,OpenStreetMap Bagdad Mine
